Kernel,mem_to,mem_from,N1,N2,time
add_collapse_double,0,0,10000,10000,2997
mult_collapse_double,0,0,10000,10000,2993
div_collapse_double,0,0,10000,10000,3037
add_collapse_double,0,0,10000,10000,17965
mult_collapse_double,0,0,10000,10000,17961
div_collapse_double,0,0,10000,10000,32177
add_collapse_double,1600000000,800000000,10000,10000,293644
mult_collapse_double,1600000000,800000000,10000,10000,244745
div_collapse_double,1600000000,800000000,10000,10000,243221
add_collapse_double,1600000000,800000000,10000,10000,232474
mult_collapse_double,1600000000,800000000,10000,10000,229359
div_collapse_double,1600000000,800000000,10000,10000,241360
add_collapse_double,1600000000,800000000,10000,10000,305643
mult_collapse_double,1600000000,800000000,10000,10000,219200
div_collapse_double,1600000000,800000000,10000,10000,219715
add_collapse_double,0,0,10000,10000,2919
mult_collapse_double,0,0,10000,10000,2926
div_collapse_double,0,0,10000,10000,3066
add_collapse_float,0,0,10000,10000,1606
mult_collapse_float,0,0,10000,10000,1601
div_collapse_float,0,0,10000,10000,1983
add_collapse_float,0,0,10000,10000,14647
mult_collapse_float,0,0,10000,10000,14626
div_collapse_float,0,0,10000,10000,30474
add_collapse_float,800000000,400000000,10000,10000,142190
mult_collapse_float,800000000,400000000,10000,10000,122579
div_collapse_float,800000000,400000000,10000,10000,124117
add_collapse_float,800000000,400000000,10000,10000,128028
mult_collapse_float,800000000,400000000,10000,10000,122375
div_collapse_float,800000000,400000000,10000,10000,137987
add_collapse_float,800000000,400000000,10000,10000,125948
mult_collapse_float,800000000,400000000,10000,10000,179692
div_collapse_float,800000000,400000000,10000,10000,113541
add_collapse_float,0,0,10000,10000,1540
mult_collapse_float,0,0,10000,10000,1534
div_collapse_float,0,0,10000,10000,1959
add_collapse_int,0,0,10000,10000,1604
mult_collapse_int,0,0,10000,10000,1597
div_collapse_int,0,0,10000,10000,1611
add_collapse_int,0,0,10000,10000,16290
mult_collapse_int,0,0,10000,10000,14654
div_collapse_int,0,0,10000,10000,21600
add_collapse_int,800000000,400000000,10000,10000,142371
mult_collapse_int,800000000,400000000,10000,10000,156035
div_collapse_int,800000000,400000000,10000,10000,129635
add_collapse_int,800000000,400000000,10000,10000,123675
mult_collapse_int,800000000,400000000,10000,10000,122298
div_collapse_int,800000000,400000000,10000,10000,129266
add_collapse_int,800000000,400000000,10000,10000,125714
mult_collapse_int,800000000,400000000,10000,10000,192327
div_collapse_int,800000000,400000000,10000,10000,111657
add_collapse_int,0,0,10000,10000,1537
mult_collapse_int,0,0,10000,10000,1538
div_collapse_int,0,0,10000,10000,1576
add_collapse_long,0,0,10000,10000,2998
mult_collapse_long,0,0,10000,10000,2993
div_collapse_long,0,0,10000,10000,3032
add_collapse_long,0,0,10000,10000,18251
mult_collapse_long,0,0,10000,10000,18716
div_collapse_long,0,0,10000,10000,43086
add_collapse_long,1600000000,800000000,10000,10000,293120
mult_collapse_long,1600000000,800000000,10000,10000,245044
div_collapse_long,1600000000,800000000,10000,10000,243442
add_collapse_long,1600000000,800000000,10000,10000,227679
mult_collapse_long,1600000000,800000000,10000,10000,227672
