Kernel,mem_to,mem_from,N1,N2,time
add_combine_double,0,0,10000,10000,14501
mult_combine_double,0,0,10000,10000,14461
div_combine_double,0,0,10000,10000,14955
add_combine_double,0,0,10000,10000,19923
mult_combine_double,0,0,10000,10000,18265
div_combine_double,0,0,10000,10000,32226
add_combine_double,1600000000,800000000,10000,10000,418899
mult_combine_double,1600000000,800000000,10000,10000,463372
div_combine_double,1600000000,800000000,10000,10000,460988
add_combine_double,1600000000,800000000,10000,10000,314403
mult_combine_double,1600000000,800000000,10000,10000,290141
div_combine_double,1600000000,800000000,10000,10000,300236
add_combine_double,1600000000,800000000,10000,10000,258175
mult_combine_double,1600000000,800000000,10000,10000,300591
div_combine_double,1600000000,800000000,10000,10000,301234
add_combine_double,0,0,10000,10000,16326
mult_combine_double,0,0,10000,10000,14179
div_combine_double,0,0,10000,10000,13980
add_combine_float,0,0,10000,10000,8167
mult_combine_float,0,0,10000,10000,7839
div_combine_float,0,0,10000,10000,8726
add_combine_float,0,0,10000,10000,15698
mult_combine_float,0,0,10000,10000,13723
div_combine_float,0,0,10000,10000,29799
add_combine_float,800000000,400000000,10000,10000,318444
mult_combine_float,800000000,400000000,10000,10000,316189
div_combine_float,800000000,400000000,10000,10000,311990
add_combine_float,800000000,400000000,10000,10000,135186
mult_combine_float,800000000,400000000,10000,10000,152901
div_combine_float,800000000,400000000,10000,10000,162620
add_combine_float,800000000,400000000,10000,10000,135524
mult_combine_float,800000000,400000000,10000,10000,134038
div_combine_float,800000000,400000000,10000,10000,150893
add_combine_float,0,0,10000,10000,10057
mult_combine_float,0,0,10000,10000,7683
div_combine_float,0,0,10000,10000,8025
add_combine_int,0,0,10000,10000,8439
mult_combine_int,0,0,10000,10000,8222
div_combine_int,0,0,10000,10000,8355
add_combine_int,0,0,10000,10000,16886
mult_combine_int,0,0,10000,10000,14170
div_combine_int,0,0,10000,10000,18742
add_combine_int,800000000,400000000,10000,10000,295297
mult_combine_int,800000000,400000000,10000,10000,293941
div_combine_int,800000000,400000000,10000,10000,304517
add_combine_int,800000000,400000000,10000,10000,188441
mult_combine_int,800000000,400000000,10000,10000,151588
div_combine_int,800000000,400000000,10000,10000,151203
add_combine_int,800000000,400000000,10000,10000,136829
mult_combine_int,800000000,400000000,10000,10000,133576
div_combine_int,800000000,400000000,10000,10000,152950
add_combine_int,0,0,10000,10000,10436
mult_combine_int,0,0,10000,10000,7817
div_combine_int,0,0,10000,10000,8068
add_combine_long,0,0,10000,10000,14602
mult_combine_long,0,0,10000,10000,14398
div_combine_long,0,0,10000,10000,14659
add_combine_long,0,0,10000,10000,20094
mult_combine_long,0,0,10000,10000,20406
div_combine_long,0,0,10000,10000,41272
add_combine_long,1600000000,800000000,10000,10000,419819
mult_combine_long,1600000000,800000000,10000,10000,463940
div_combine_long,1600000000,800000000,10000,10000,461461
add_combine_long,1600000000,800000000,10000,10000,288177
mult_combine_long,1600000000,800000000,10000,10000,285971
div_combine_long,1600000000,800000000,10000,10000,307640
add_combine_long,1600000000,800000000,10000,10000,263204
mult_combine_long,1600000000,800000000,10000,10000,298385
div_combine_long,1600000000,800000000,10000,10000,298834
add_combine_long,0,0,10000,10000,16463
mult_combine_long,0,0,10000,10000,14354
div_combine_long,0,0,10000,10000,14222
add_combine_double,0,0,10000,12500,18149
mult_combine_double,0,0,10000,12500,18350
div_combine_double,0,0,10000,12500,18456
add_combine_double,0,0,10000,12500,22736
mult_combine_double,0,0,10000,12500,21039
div_combine_double,0,0,10000,12500,38609
add_combine_double,2000000000,1000000000,10000,12500,448119
mult_combine_double,2000000000,1000000000,10000,12500,516859
div_combine_double,2000000000,1000000000,10000,12500,501270
add_combine_double,2000000000,1000000000,10000,12500,359255
mult_combine_double,2000000000,1000000000,10000,12500,357257
div_combine_double,2000000000,1000000000,10000,12500,375549
add_combine_double,2000000000,1000000000,10000,12500,319718
mult_combine_double,2000000000,1000000000,10000,12500,373787
div_combine_double,2000000000,1000000000,10000,12500,373280
add_combine_double,0,0,10000,12500,19888
mult_combine_double,0,0,10000,12500,17575
div_combine_double,0,0,10000,12500,17483
add_combine_float,0,0,10000,12500,10520
mult_combine_float,0,0,10000,12500,10601
div_combine_float,0,0,10000,12500,11209
add_combine_float,0,0,10000,12500,18627
mult_combine_float,0,0,10000,12500,15439
div_combine_float,0,0,10000,12500,35407
add_combine_float,1000000000,500000000,10000,12500,307798
mult_combine_float,1000000000,500000000,10000,12500,307655
div_combine_float,1000000000,500000000,10000,12500,332508
add_combine_float,1000000000,500000000,10000,12500,171216
mult_combine_float,1000000000,500000000,10000,12500,179305
div_combine_float,1000000000,500000000,10000,12500,199889
add_combine_float,1000000000,500000000,10000,12500,170877
mult_combine_float,1000000000,500000000,10000,12500,167403
div_combine_float,1000000000,500000000,10000,12500,191345
add_combine_float,0,0,10000,12500,12647
mult_combine_float,0,0,10000,12500,10263
div_combine_float,0,0,10000,12500,11085
add_combine_int,0,0,10000,12500,10976
mult_combine_int,0,0,10000,12500,10851
div_combine_int,0,0,10000,12500,10792
add_combine_int,0,0,10000,12500,17268
mult_combine_int,0,0,10000,12500,15441
div_combine_int,0,0,10000,12500,21719
add_combine_int,1000000000,500000000,10000,12500,307462
mult_combine_int,1000000000,500000000,10000,12500,307507
div_combine_int,1000000000,500000000,10000,12500,332024
add_combine_int,1000000000,500000000,10000,12500,162089
mult_combine_int,1000000000,500000000,10000,12500,176651
