Kernel,mem_to,mem_from,N1,N2,time
add_split_double,0,0,10000,10000,5153
mult_split_double,0,0,10000,10000,3739
div_split_double,0,0,10000,10000,3974
add_split_double,0,0,10000,10000,33060
mult_split_double,0,0,10000,10000,32662
div_split_double,0,0,10000,10000,44055
add_split_double,1600000000,800000000,10000,10000,287486
mult_split_double,1600000000,800000000,10000,10000,260667
div_split_double,1600000000,800000000,10000,10000,260853
add_split_double,1600000000,800000000,10000,10000,261155
mult_split_double,1600000000,800000000,10000,10000,256757
div_split_double,1600000000,800000000,10000,10000,266199
add_split_double,1600000000,800000000,10000,10000,257824
mult_split_double,1600000000,800000000,10000,10000,233349
div_split_double,1600000000,800000000,10000,10000,233247
add_split_double,0,0,10000,10000,5066
mult_split_double,0,0,10000,10000,3472
div_split_double,0,0,10000,10000,4032
add_split_float,0,0,10000,10000,3778
mult_split_float,0,0,10000,10000,2387
div_split_float,0,0,10000,10000,2770
add_split_float,0,0,10000,10000,31717
mult_split_float,0,0,10000,10000,31638
div_split_float,0,0,10000,10000,42438
add_split_float,800000000,400000000,10000,10000,143334
mult_split_float,800000000,400000000,10000,10000,184711
div_split_float,800000000,400000000,10000,10000,142319
add_split_float,800000000,400000000,10000,10000,213622
mult_split_float,800000000,400000000,10000,10000,150969
div_split_float,800000000,400000000,10000,10000,162923
add_split_float,800000000,400000000,10000,10000,128829
mult_split_float,800000000,400000000,10000,10000,132514
div_split_float,800000000,400000000,10000,10000,124744
add_split_float,0,0,10000,10000,4007
mult_split_float,0,0,10000,10000,2339
div_split_float,0,0,10000,10000,3022
add_split_int,0,0,10000,10000,3869
mult_split_int,0,0,10000,10000,2434
div_split_int,0,0,10000,10000,2431
add_split_int,0,0,10000,10000,32465
mult_split_int,0,0,10000,10000,32018
div_split_int,0,0,10000,10000,34530
add_split_int,800000000,400000000,10000,10000,143341
mult_split_int,800000000,400000000,10000,10000,170021
div_split_int,800000000,400000000,10000,10000,142444
add_split_int,800000000,400000000,10000,10000,140670
mult_split_int,800000000,400000000,10000,10000,150975
div_split_int,800000000,400000000,10000,10000,154603
add_split_int,800000000,400000000,10000,10000,128587
mult_split_int,800000000,400000000,10000,10000,127116
div_split_int,800000000,400000000,10000,10000,125312
add_split_int,0,0,10000,10000,3931
mult_split_int,0,0,10000,10000,2251
div_split_int,0,0,10000,10000,2805
add_split_long,0,0,10000,10000,5184
mult_split_long,0,0,10000,10000,3697
div_split_long,0,0,10000,10000,3953
add_split_long,0,0,10000,10000,32982
mult_split_long,0,0,10000,10000,33553
div_split_long,0,0,10000,10000,52523
add_split_long,1600000000,800000000,10000,10000,287380
mult_split_long,1600000000,800000000,10000,10000,261342
div_split_long,1600000000,800000000,10000,10000,260067
add_split_long,1600000000,800000000,10000,10000,261198
mult_split_long,1600000000,800000000,10000,10000,254490
div_split_long,1600000000,800000000,10000,10000,275726
add_split_long,1600000000,800000000,10000,10000,257507
mult_split_long,1600000000,800000000,10000,10000,233455
div_split_long,1600000000,800000000,10000,10000,234091
add_split_long,0,0,10000,10000,5045
mult_split_long,0,0,10000,10000,3506
div_split_long,0,0,10000,10000,4196
add_split_double,0,0,10000,12500,6108
mult_split_double,0,0,10000,12500,4677
div_split_double,0,0,10000,12500,4975
add_split_double,0,0,10000,12500,34752
mult_split_double,0,0,10000,12500,34544
div_split_double,0,0,10000,12500,49687
add_split_double,2000000000,1000000000,10000,12500,320102
mult_split_double,2000000000,1000000000,10000,12500,283594
div_split_double,2000000000,1000000000,10000,12500,281723
add_split_double,2000000000,1000000000,10000,12500,308863
mult_split_double,2000000000,1000000000,10000,12500,309045
div_split_double,2000000000,1000000000,10000,12500,326719
add_split_double,2000000000,1000000000,10000,12500,322949
mult_split_double,2000000000,1000000000,10000,12500,287793
div_split_double,2000000000,1000000000,10000,12500,294675
add_split_double,0,0,10000,12500,5974
mult_split_double,0,0,10000,12500,4346
div_split_double,0,0,10000,12500,5137
add_split_float,0,0,10000,12500,4407
mult_split_float,0,0,10000,12500,3003
div_split_float,0,0,10000,12500,3674
add_split_float,0,0,10000,12500,33595
mult_split_float,0,0,10000,12500,32191
div_split_float,0,0,10000,12500,48240
add_split_float,1000000000,500000000,10000,12500,160475
mult_split_float,1000000000,500000000,10000,12500,226482
div_split_float,1000000000,500000000,10000,12500,152312
add_split_float,1000000000,500000000,10000,12500,189226
mult_split_float,1000000000,500000000,10000,12500,179471
div_split_float,1000000000,500000000,10000,12500,193360
add_split_float,1000000000,500000000,10000,12500,161029
mult_split_float,1000000000,500000000,10000,12500,160114
div_split_float,1000000000,500000000,10000,12500,154576
add_split_float,0,0,10000,12500,4469
mult_split_float,0,0,10000,12500,2877
div_split_float,0,0,10000,12500,3720
add_split_int,0,0,10000,12500,4508
mult_split_int,0,0,10000,12500,5699
div_split_int,0,0,10000,12500,3020
add_split_int,0,0,10000,12500,32362
mult_split_int,0,0,10000,12500,32492
div_split_int,0,0,10000,12500,36810
add_split_int,1000000000,500000000,10000,12500,160861
mult_split_int,1000000000,500000000,10000,12500,226829
div_split_int,1000000000,500000000,10000,12500,150168
add_split_int,1000000000,500000000,10000,12500,188380
mult_split_int,1000000000,500000000,10000,12500,180787
div_split_int,1000000000,500000000,10000,12500,192810
add_split_int,1000000000,500000000,10000,12500,160587
mult_split_int,1000000000,500000000,10000,12500,159267
div_split_int,1000000000,500000000,10000,12500,153393
add_split_int,0,0,10000,12500,4402
mult_split_int,0,0,10000,12500,2748
div_split_int,0,0,10000,12500,3314
add_split_long,0,0,10000,12500,6115
mult_split_long,0,0,10000,12500,4646
div_split_long,0,0,10000,12500,4955
add_split_long,0,0,10000,12500,34567
mult_split_long,0,0,10000,12500,34916
div_split_long,0,0,10000,12500,60399
add_split_long,2000000000,1000000000,10000,12500,320543
mult_split_long,2000000000,1000000000,10000,12500,283646
div_split_long,2000000000,1000000000,10000,12500,282639
add_split_long,2000000000,1000000000,10000,12500,308647
mult_split_long,2000000000,1000000000,10000,12500,329720
div_split_long,2000000000,1000000000,10000,12500,337443
add_split_long,2000000000,1000000000,10000,12500,322878
mult_split_long,2000000000,1000000000,10000,12500,287459
div_split_long,2000000000,1000000000,10000,12500,294432
add_split_long,0,0,10000,12500,6046
mult_split_long,0,0,10000,12500,4399
div_split_long,0,0,10000,12500,5234
add_split_double,0,0,10000,15000,6812
mult_split_double,0,0,10000,15000,5366
div_split_double,0,0,10000,15000,5636
add_split_double,0,0,10000,15000,36644
mult_split_double,0,0,10000,15000,36397
div_split_double,0,0,10000,15000,54948
add_split_double,2400000000,1200000000,10000,15000,384295
mult_split_double,2400000000,1200000000,10000,15000,333403
div_split_double,2400000000,1200000000,10000,15000,333422
add_split_double,2400000000,1200000000,10000,15000,361504
mult_split_double,2400000000,1200000000,10000,15000,361101
div_split_double,2400000000,1200000000,10000,15000,382719
add_split_double,2400000000,1200000000,10000,15000,416917
mult_split_double,2400000000,1200000000,10000,15000,340965
div_split_double,2400000000,1200000000,10000,15000,351744
add_split_double,0,0,10000,15000,6807
mult_split_double,0,0,10000,15000,5174
div_split_double,0,0,10000,15000,6129
add_split_float,0,0,10000,15000,4795
mult_split_float,0,0,10000,15000,3318
div_split_float,0,0,10000,15000,3893
add_split_float,0,0,10000,15000,33712
mult_split_float,0,0,10000,15000,33815
div_split_float,0,0,10000,15000,53185
add_split_float,1200000000,600000000,10000,15000,192936
mult_split_float,1200000000,600000000,10000,15000,283367
div_split_float,1200000000,600000000,10000,15000,179221
add_split_float,1200000000,600000000,10000,15000,220823
mult_split_float,1200000000,600000000,10000,15000,236637
div_split_float,1200000000,600000000,10000,15000,231150
add_split_float,1200000000,600000000,10000,15000,193554
mult_split_float,1200000000,600000000,10000,15000,177981
div_split_float,1200000000,600000000,10000,15000,178774
add_split_float,0,0,10000,15000,4930
mult_split_float,0,0,10000,15000,3336
div_split_float,0,0,10000,15000,4307
add_split_int,0,0,10000,15000,4890
mult_split_int,0,0,10000,15000,3373
div_split_int,0,0,10000,15000,3352
add_split_int,0,0,10000,15000,35516
mult_split_int,0,0,10000,15000,33519
div_split_int,0,0,10000,15000,39544
add_split_int,1200000000,600000000,10000,15000,192641
mult_split_int,1200000000,600000000,10000,15000,282373
div_split_int,1200000000,600000000,10000,15000,177919
add_split_int,1200000000,600000000,10000,15000,220831
mult_split_int,1200000000,600000000,10000,15000,215574
div_split_int,1200000000,600000000,10000,15000,218516
add_split_int,1200000000,600000000,10000,15000,193856
mult_split_int,1200000000,600000000,10000,15000,176840
div_split_int,1200000000,600000000,10000,15000,177683
add_split_int,0,0,10000,15000,4851
mult_split_int,0,0,10000,15000,3157
div_split_int,0,0,10000,15000,3937
add_split_long,0,0,10000,15000,6842
mult_split_long,0,0,10000,15000,5333
div_split_long,0,0,10000,15000,5633
add_split_long,0,0,10000,15000,36385
mult_split_long,0,0,10000,15000,36695
div_split_long,0,0,10000,15000,69144
add_split_long,2400000000,1200000000,10000,15000,386422
mult_split_long,2400000000,1200000000,10000,15000,334918
div_split_long,2400000000,1200000000,10000,15000,335978
add_split_long,2400000000,1200000000,10000,15000,365483
mult_split_long,2400000000,1200000000,10000,15000,364727
div_split_long,2400000000,1200000000,10000,15000,394454
add_split_long,2400000000,1200000000,10000,15000,416898
mult_split_long,2400000000,1200000000,10000,15000,340618
div_split_long,2400000000,1200000000,10000,15000,351535
add_split_long,0,0,10000,15000,6855
mult_split_long,0,0,10000,15000,5150
div_split_long,0,0,10000,15000,6000
add_split_double,0,0,10000,17500,7773
mult_split_double,0,0,10000,17500,6265
div_split_double,0,0,10000,17500,6580
add_split_double,0,0,10000,17500,38314
mult_split_double,0,0,10000,17500,38536
div_split_double,0,0,10000,17500,60424
add_split_double,2800000000,1400000000,10000,17500,527328
mult_split_double,2800000000,1400000000,10000,17500,385610
div_split_double,2800000000,1400000000,10000,17500,396251
add_split_double,2800000000,1400000000,10000,17500,415520
mult_split_double,2800000000,1400000000,10000,17500,444897
div_split_double,2800000000,1400000000,10000,17500,439030
add_split_double,2800000000,1400000000,10000,17500,731068
mult_split_double,2800000000,1400000000,10000,17500,395381
div_split_double,2800000000,1400000000,10000,17500,404606
add_split_double,0,0,10000,17500,7732
mult_split_double,0,0,10000,17500,6174
div_split_double,0,0,10000,17500,7030
add_split_float,0,0,10000,17500,5495
mult_split_float,0,0,10000,17500,3990
div_split_float,0,0,10000,17500,4997
add_split_float,0,0,10000,17500,34842
mult_split_float,0,0,10000,17500,34906
div_split_float,0,0,10000,17500,57052
add_split_float,1400000000,700000000,10000,17500,225577
mult_split_float,1400000000,700000000,10000,17500,206388
div_split_float,1400000000,700000000,10000,17500,206480
add_split_float,1400000000,700000000,10000,17500,255962
mult_split_float,1400000000,700000000,10000,17500,229800
div_split_float,1400000000,700000000,10000,17500,257306
add_split_float,1400000000,700000000,10000,17500,226071
mult_split_float,1400000000,700000000,10000,17500,206365
div_split_float,1400000000,700000000,10000,17500,207282
add_split_float,0,0,10000,17500,5530
mult_split_float,0,0,10000,17500,3969
div_split_float,0,0,10000,17500,5132
add_split_int,0,0,10000,17500,5507
mult_split_int,0,0,10000,17500,3999
div_split_int,0,0,10000,17500,3972
add_split_int,0,0,10000,17500,35551
mult_split_int,0,0,10000,17500,34704
div_split_int,0,0,10000,17500,41979
add_split_int,1400000000,700000000,10000,17500,225949
mult_split_int,1400000000,700000000,10000,17500,204246
div_split_int,1400000000,700000000,10000,17500,203042
add_split_int,1400000000,700000000,10000,17500,252814
mult_split_int,1400000000,700000000,10000,17500,229448
div_split_int,1400000000,700000000,10000,17500,240618
add_split_int,1400000000,700000000,10000,17500,226562
mult_split_int,1400000000,700000000,10000,17500,207163
div_split_int,1400000000,700000000,10000,17500,206133
add_split_int,0,0,10000,17500,5625
mult_split_int,0,0,10000,17500,3762
div_split_int,0,0,10000,17500,4607
add_split_long,0,0,10000,17500,7710
mult_split_long,0,0,10000,17500,6232
div_split_long,0,0,10000,17500,6577
add_split_long,0,0,10000,17500,38669
mult_split_long,0,0,10000,17500,38890
div_split_long,0,0,10000,17500,75551
add_split_long,2800000000,1400000000,10000,17500,489485
mult_split_long,2800000000,1400000000,10000,17500,386580
div_split_long,2800000000,1400000000,10000,17500,396357
add_split_long,2800000000,1400000000,10000,17500,415018
mult_split_long,2800000000,1400000000,10000,17500,418105
div_split_long,2800000000,1400000000,10000,17500,452159
add_split_long,2800000000,1400000000,10000,17500,731510
mult_split_long,2800000000,1400000000,10000,17500,395433
div_split_long,2800000000,1400000000,10000,17500,404259
add_split_long,0,0,10000,17500,7754
mult_split_long,0,0,10000,17500,6183
div_split_long,0,0,10000,17500,7106
add_split_double,0,0,10000,20000,8160
mult_split_double,0,0,10000,20000,6711
div_split_double,0,0,10000,20000,6951
add_split_double,0,0,10000,20000,40867
mult_split_double,0,0,10000,20000,40743
div_split_double,0,0,10000,20000,65743
add_split_double,3200000000,1600000000,10000,20000,822648
mult_split_double,3200000000,1600000000,10000,20000,437908
div_split_double,3200000000,1600000000,10000,20000,450770
add_split_double,3200000000,1600000000,10000,20000,483529
mult_split_double,3200000000,1600000000,10000,20000,477232
div_split_double,3200000000,1600000000,10000,20000,491219
add_split_double,3200000000,1600000000,10000,20000,838408
mult_split_double,3200000000,1600000000,10000,20000,450081
div_split_double,3200000000,1600000000,10000,20000,451264
add_split_double,0,0,10000,20000,8407
mult_split_double,0,0,10000,20000,6754
div_split_double,0,0,10000,20000,7667
add_split_float,0,0,10000,20000,5627
