Kernel,mem_to,mem_from,N1,N2,time
add_collapse_swap_double,0,0,10000,10000,18569
mult_collapse_swap_double,0,0,10000,10000,18550
div_collapse_swap_double,0,0,10000,10000,18192
add_collapse_swap_double,0,0,10000,10000,88226
mult_collapse_swap_double,0,0,10000,10000,88278
div_collapse_swap_double,0,0,10000,10000,89965
add_collapse_swap_double,1600000000,800000000,10000,10000,261666
mult_collapse_swap_double,1600000000,800000000,10000,10000,260262
div_collapse_swap_double,1600000000,800000000,10000,10000,258169
add_collapse_swap_double,1600000000,800000000,10000,10000,302464
mult_collapse_swap_double,1600000000,800000000,10000,10000,297541
div_collapse_swap_double,1600000000,800000000,10000,10000,299108
add_collapse_swap_double,1600000000,800000000,10000,10000,292097
mult_collapse_swap_double,1600000000,800000000,10000,10000,289036
div_collapse_swap_double,1600000000,800000000,10000,10000,297106
add_collapse_swap_double,0,0,10000,10000,73261
mult_collapse_swap_double,0,0,10000,10000,73621
div_collapse_swap_double,0,0,10000,10000,75280
add_collapse_swap_float,0,0,10000,10000,9371
mult_collapse_swap_float,0,0,10000,10000,9343
div_collapse_swap_float,0,0,10000,10000,15053
add_collapse_swap_float,0,0,10000,10000,88192
mult_collapse_swap_float,0,0,10000,10000,88188
div_collapse_swap_float,0,0,10000,10000,90036
add_collapse_swap_float,800000000,400000000,10000,10000,149853
mult_collapse_swap_float,800000000,400000000,10000,10000,130605
div_collapse_swap_float,800000000,400000000,10000,10000,137079
add_collapse_swap_float,800000000,400000000,10000,10000,197417
mult_collapse_swap_float,800000000,400000000,10000,10000,225497
div_collapse_swap_float,800000000,400000000,10000,10000,197630
add_collapse_swap_float,800000000,400000000,10000,10000,196684
mult_collapse_swap_float,800000000,400000000,10000,10000,185122
div_collapse_swap_float,800000000,400000000,10000,10000,184570
add_collapse_swap_float,0,0,10000,10000,72186
mult_collapse_swap_float,0,0,10000,10000,72323
div_collapse_swap_float,0,0,10000,10000,74209
add_collapse_swap_int,0,0,10000,10000,9789
mult_collapse_swap_int,0,0,10000,10000,9591
div_collapse_swap_int,0,0,10000,10000,9593
add_collapse_swap_int,0,0,10000,10000,88463
mult_collapse_swap_int,0,0,10000,10000,88230
div_collapse_swap_int,0,0,10000,10000,88542
add_collapse_swap_int,800000000,400000000,10000,10000,150506
mult_collapse_swap_int,800000000,400000000,10000,10000,137006
div_collapse_swap_int,800000000,400000000,10000,10000,138151
add_collapse_swap_int,800000000,400000000,10000,10000,197806
mult_collapse_swap_int,800000000,400000000,10000,10000,195678
div_collapse_swap_int,800000000,400000000,10000,10000,196189
add_collapse_swap_int,800000000,400000000,10000,10000,196054
mult_collapse_swap_int,800000000,400000000,10000,10000,183002
div_collapse_swap_int,800000000,400000000,10000,10000,181813
