Kernel,mem_to,mem_from,N1,N2,time
add_combine_swap_double,0,0,10000,10000,5645
mult_combine_swap_double,0,0,10000,10000,5643
div_combine_swap_double,0,0,10000,10000,7192
add_combine_swap_double,0,0,10000,10000,72159
mult_combine_swap_double,0,0,10000,10000,71873
div_combine_swap_double,0,0,10000,10000,80283
add_combine_swap_double,1600000000,800000000,10000,10000,436755
mult_combine_swap_double,1600000000,800000000,10000,10000,255427
div_combine_swap_double,1600000000,800000000,10000,10000,247231
add_combine_swap_double,1600000000,800000000,10000,10000,281967
mult_combine_swap_double,1600000000,800000000,10000,10000,281198
div_combine_swap_double,1600000000,800000000,10000,10000,289272
add_combine_swap_double,1600000000,800000000,10000,10000,353166
mult_combine_swap_double,1600000000,800000000,10000,10000,221553
div_combine_swap_double,1600000000,800000000,10000,10000,225228
add_combine_swap_double,0,0,10000,10000,5536
mult_combine_swap_double,0,0,10000,10000,5549
div_combine_swap_double,0,0,10000,10000,8872
add_combine_swap_float,0,0,10000,10000,4818
mult_combine_swap_float,0,0,10000,10000,4810
div_combine_swap_float,0,0,10000,10000,6702
add_combine_swap_float,0,0,10000,10000,67649
mult_combine_swap_float,0,0,10000,10000,67762
div_combine_swap_float,0,0,10000,10000,72652
add_combine_swap_float,800000000,400000000,10000,10000,146264
mult_combine_swap_float,800000000,400000000,10000,10000,129783
div_combine_swap_float,800000000,400000000,10000,10000,128713
add_combine_swap_float,800000000,400000000,10000,10000,177534
mult_combine_swap_float,800000000,400000000,10000,10000,175332
div_combine_swap_float,800000000,400000000,10000,10000,180117
add_combine_swap_float,800000000,400000000,10000,10000,130016
mult_combine_swap_float,800000000,400000000,10000,10000,115078
div_combine_swap_float,800000000,400000000,10000,10000,117529
add_combine_swap_float,0,0,10000,10000,4749
mult_combine_swap_float,0,0,10000,10000,4754
div_combine_swap_float,0,0,10000,10000,7726
add_combine_swap_int,0,0,10000,10000,5147
mult_combine_swap_int,0,0,10000,10000,5128
div_combine_swap_int,0,0,10000,10000,5594
add_combine_swap_int,0,0,10000,10000,67042
mult_combine_swap_int,0,0,10000,10000,67403
div_combine_swap_int,0,0,10000,10000,70743
add_combine_swap_int,800000000,400000000,10000,10000,146222
mult_combine_swap_int,800000000,400000000,10000,10000,136610
div_combine_swap_int,800000000,400000000,10000,10000,133792
add_combine_swap_int,800000000,400000000,10000,10000,176818
mult_combine_swap_int,800000000,400000000,10000,10000,175043
div_combine_swap_int,800000000,400000000,10000,10000,178673
add_combine_swap_int,800000000,400000000,10000,10000,129817
mult_combine_swap_int,800000000,400000000,10000,10000,113579
div_combine_swap_int,800000000,400000000,10000,10000,113642
add_combine_swap_int,0,0,10000,10000,5090
mult_combine_swap_int,0,0,10000,10000,4873
