Kernel,mem_to,mem_from,N1,N2,time
add_split_swap_double,0,0,10000,10000,70570
mult_split_swap_double,0,0,10000,10000,69594
div_split_swap_double,0,0,10000,10000,70742
add_split_swap_double,0,0,10000,10000,88742
mult_split_swap_double,0,0,10000,10000,88612
div_split_swap_double,0,0,10000,10000,90644
add_split_swap_double,1600000000,800000000,10000,10000,317118
mult_split_swap_double,1600000000,800000000,10000,10000,313760
div_split_swap_double,1600000000,800000000,10000,10000,310188
add_split_swap_double,1600000000,800000000,10000,10000,306768
mult_split_swap_double,1600000000,800000000,10000,10000,299042
div_split_swap_double,1600000000,800000000,10000,10000,304226
add_split_swap_double,1600000000,800000000,10000,10000,303036
mult_split_swap_double,1600000000,800000000,10000,10000,296292
div_split_swap_double,1600000000,800000000,10000,10000,301402
add_split_swap_double,0,0,10000,10000,80435
mult_split_swap_double,0,0,10000,10000,80301
div_split_swap_double,0,0,10000,10000,80585
add_split_swap_float,0,0,10000,10000,59727
mult_split_swap_float,0,0,10000,10000,59274
div_split_swap_float,0,0,10000,10000,62264
add_split_swap_float,0,0,10000,10000,88241
mult_split_swap_float,0,0,10000,10000,88153
div_split_swap_float,0,0,10000,10000,94268
add_split_swap_float,800000000,400000000,10000,10000,199260
mult_split_swap_float,800000000,400000000,10000,10000,181539
div_split_swap_float,800000000,400000000,10000,10000,185863
add_split_swap_float,800000000,400000000,10000,10000,198134
mult_split_swap_float,800000000,400000000,10000,10000,196187
div_split_swap_float,800000000,400000000,10000,10000,201119
add_split_swap_float,800000000,400000000,10000,10000,203711
mult_split_swap_float,800000000,400000000,10000,10000,198147
div_split_swap_float,800000000,400000000,10000,10000,191324
add_split_swap_float,0,0,10000,10000,79335
mult_split_swap_float,0,0,10000,10000,79251
div_split_swap_float,0,0,10000,10000,79522
add_split_swap_int,0,0,10000,10000,53851
mult_split_swap_int,0,0,10000,10000,53694
div_split_swap_int,0,0,10000,10000,52994
add_split_swap_int,0,0,10000,10000,89561
mult_split_swap_int,0,0,10000,10000,88230
div_split_swap_int,0,0,10000,10000,88890
add_split_swap_int,800000000,400000000,10000,10000,192108
mult_split_swap_int,800000000,400000000,10000,10000,180457
div_split_swap_int,800000000,400000000,10000,10000,181808
add_split_swap_int,800000000,400000000,10000,10000,197250
mult_split_swap_int,800000000,400000000,10000,10000,195800
div_split_swap_int,800000000,400000000,10000,10000,196852
add_split_swap_int,800000000,400000000,10000,10000,203712
mult_split_swap_int,800000000,400000000,10000,10000,197138
div_split_swap_int,800000000,400000000,10000,10000,189842
add_split_swap_int,0,0,10000,10000,82054
mult_split_swap_int,0,0,10000,10000,80736
div_split_swap_int,0,0,10000,10000,79462
add_split_swap_long,0,0,10000,10000,70344
mult_split_swap_long,0,0,10000,10000,70321
div_split_swap_long,0,0,10000,10000,70585
add_split_swap_long,0,0,10000,10000,88617
mult_split_swap_long,0,0,10000,10000,88524
div_split_swap_long,0,0,10000,10000,91515
add_split_swap_long,1600000000,800000000,10000,10000,316618
mult_split_swap_long,1600000000,800000000,10000,10000,313267
div_split_swap_long,1600000000,800000000,10000,10000,311668
add_split_swap_long,1600000000,800000000,10000,10000,302970
mult_split_swap_long,1600000000,800000000,10000,10000,297711
div_split_swap_long,1600000000,800000000,10000,10000,300428
add_split_swap_long,1600000000,800000000,10000,10000,303114
mult_split_swap_long,1600000000,800000000,10000,10000,296548
div_split_swap_long,1600000000,800000000,10000,10000,301947
add_split_swap_long,0,0,10000,10000,80278
mult_split_swap_long,0,0,10000,10000,80274
div_split_swap_long,0,0,10000,10000,80905
add_split_swap_double,0,0,10000,12500,89635
mult_split_swap_double,0,0,10000,12500,89292
div_split_swap_double,0,0,10000,12500,90883
add_split_swap_double,0,0,10000,12500,109497
mult_split_swap_double,0,0,10000,12500,109506
div_split_swap_double,0,0,10000,12500,112079
add_split_swap_double,2000000000,1000000000,10000,12500,357172
mult_split_swap_double,2000000000,1000000000,10000,12500,354168
div_split_swap_double,2000000000,1000000000,10000,12500,350852
add_split_swap_double,2000000000,1000000000,10000,12500,373825
mult_split_swap_double,2000000000,1000000000,10000,12500,369037
div_split_swap_double,2000000000,1000000000,10000,12500,371768
add_split_swap_double,2000000000,1000000000,10000,12500,372416
mult_split_swap_double,2000000000,1000000000,10000,12500,367918
div_split_swap_double,2000000000,1000000000,10000,12500,377595
add_split_swap_double,0,0,10000,12500,100529
mult_split_swap_double,0,0,10000,12500,100517
div_split_swap_double,0,0,10000,12500,100859
add_split_swap_float,0,0,10000,12500,74261
mult_split_swap_float,0,0,10000,12500,75127
div_split_swap_float,0,0,10000,12500,77564
add_split_swap_float,0,0,10000,12500,109260
mult_split_swap_float,0,0,10000,12500,108850
div_split_swap_float,0,0,10000,12500,111911
add_split_swap_float,1000000000,500000000,10000,12500,230631
mult_split_swap_float,1000000000,500000000,10000,12500,205142
div_split_swap_float,1000000000,500000000,10000,12500,209674
add_split_swap_float,1000000000,500000000,10000,12500,262113
mult_split_swap_float,1000000000,500000000,10000,12500,246232
div_split_swap_float,1000000000,500000000,10000,12500,245226
add_split_swap_float,1000000000,500000000,10000,12500,256097
mult_split_swap_float,1000000000,500000000,10000,12500,236599
div_split_swap_float,1000000000,500000000,10000,12500,237874
add_split_swap_float,0,0,10000,12500,99681
mult_split_swap_float,0,0,10000,12500,99623
div_split_swap_float,0,0,10000,12500,100195
add_split_swap_int,0,0,10000,12500,67816
mult_split_swap_int,0,0,10000,12500,65595
div_split_swap_int,0,0,10000,12500,64885
add_split_swap_int,0,0,10000,12500,108801
mult_split_swap_int,0,0,10000,12500,108846
div_split_swap_int,0,0,10000,12500,109838
add_split_swap_int,1000000000,500000000,10000,12500,223104
