kernel,Summit,Seawulf,Exxact,Intel,gcc-9.1.0,llvm-15.0.0,llvm-12.0.0,nvc-22.1,icpx-2022,NVIDIA-Tesla-V100,NVIDIA-Tesla-K80,NVIDIA-GeForce-RTX-2080,Intel-HD-P630,distributeCollapse1,distributeCollapse2,distributeCollapse3,parallelLoopID1,parallelLoopID2,parallelLoopID3,parallelLoopID4,forCollapse1,forCollapse2,forCollapse3,forCollapse4,Static,Dynamic,Guided,loop1,loop2,loop3,loop4,varDecl,refExpr,intLit,floatLit,memTo,memFrom,memAlloc,memDelete,addSubInt,addSubFloat,mulInt,mulFloat,divInt,divFloat,logicalInt,logicalFloat,remInt,assInt,assFloat,runtime
clang_64_64_96_96_2_100_k80_Variant_1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,64,64,96,96,75535618113,1804465873024,313390801025,0,0,0,0,0,135933595712,90596966400,0,90596966400,0,0,181232078912,0,22649241600,0,124570828800,8270743
clang_64_64_96_96_2_100_k80_Variant_2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,64,64,96,96,75535618113,1804465873024,313390801025,0,0,0,0,0,135933595712,90596966400,0,90596966400,0,0,181232078912,0,22649241600,0,124570828800,179560545
clang_64_64_96_96_2_100_k80_Variant_3,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,64,64,96,96,75535618113,1804465873024,313390801025,0,0,0,0,0,135933595712,90596966400,0,90596966400,0,0,181232078912,0,22649241600,0,124570828800,178738787
clang_64_64_96_96_2_100_k80_Variant_4,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,64,64,96,96,75535618113,1804465873024,313390801025,0,0,0,0,0,135933595712,90596966400,0,90596966400,0,0,181232078912,0,22649241600,0,124570828800,61443409
clang_64_64_96_96_2_100_k80_Variant_5,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,64,64,96,96,75535618113,1804465873024,313390801025,0,0,0,0,0,135933595712,90596966400,0,90596966400,0,0,181232078912,0,22649241600,0,124570828800,400037732
clang_64_64_96_96_2_100_k80_Variant_6,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,64,64,96,96,75535618113,1804465873024,313390801025,0,0,0,0,0,135933595712,90596966400,0,90596966400,0,0,181232078912,0,22649241600,0,124570828800,392265746
clang_64_64_96_96_2_100_k80_Variant_7,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,64,64,96,96,75535618113,1804465873024,313390801025,0,0,0,0,0,135933595712,90596966400,0,90596966400,0,0,181232078912,0,22649241600,0,124570828800,173398707
clang_64_64_96_96_2_100_k80_Variant_8,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,64,64,96,96,75535618113,1804465873024,313390801025,0,0,0,0,0,135933595712,90596966400,0,90596966400,0,0,181232078912,0,22649241600,0,124570828800,652658411
clang_64_64_96_96_2_100_k80_Variant_9,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,64,64,96,96,75535618113,1804465873024,313390801025,0,0,0,0,0,135933595712,90596966400,0,90596966400,0,0,181232078912,0,22649241600,0,124570828800,652484083
clang_64_64_96_96_2_100_k80_Variant_10,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,64,64,96,96,75535618113,1804465873024,313390801025,0,0,0,0,0,135933595712,90596966400,0,90596966400,0,0,181232078912,0,22649241600,0,124570828800,759611737
clang_64_64_96_96_2_100_k80_Variant_11,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,64,64,96,96,75535618113,1804465873024,313390801025,0,0,0,0,0,135933595712,90596966400,0,90596966400,0,0,181232078912,0,22649241600,0,124570828800,16731548286
clang_64_64_96_96_2_100_k80_Variant_43,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,64,64,96,96,75535618113,1804465873024,313390801025,0,3623878656,452984832,452984832,3623878656,135933595712,90596966400,0,90596966400,0,0,181232078912,0,22649241600,0,124570828800,155047
