kernel,distColl1,distColl2,distColl3,par1,par2,par3,par4,parColl1,parColl2,parColl3,parColl4,stat,dyn,guid,loop1,loop2,loop3,loop4,varDecl,refExpr,intLit,floatLit,memTo,memFrom,memAlloc,memDelete,addSubInt,addSubFloat,mulInt,mulFloat,divInt,divFloat,logicalInt,logicalFloat,remInt,assInt,assFloat,runtime
clang_32_32_32_32_2_100_v100_Variant_1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,21662
clang_32_32_32_32_2_100_v100_Variant_2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,1449
clang_32_32_32_32_2_100_v100_Variant_3,1,0,0,1,0,0,0,0,0,0,1,0,0,1,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,1453
clang_32_32_32_32_2_100_v100_Variant_4,1,0,0,1,0,0,0,0,0,1,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,220117
clang_32_32_32_32_2_100_v100_Variant_5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,1698
clang_32_32_32_32_2_100_v100_Variant_6,1,0,0,1,0,0,0,0,0,1,0,0,0,1,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,1768
clang_32_32_32_32_2_100_v100_Variant_7,1,0,0,1,0,0,0,0,1,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,349396
clang_32_32_32_32_2_100_v100_Variant_8,1,0,0,1,0,0,0,0,1,0,0,0,1,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,16423
clang_32_32_32_32_2_100_v100_Variant_9,1,0,0,1,0,0,0,0,1,0,0,0,0,1,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,16729
clang_32_32_32_32_2_100_v100_Variant_10,1,0,0,1,0,0,0,1,0,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,2935077
clang_32_32_32_32_2_100_v100_Variant_11,1,0,0,1,0,0,0,1,0,0,0,0,1,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,485844
clang_32_32_32_32_2_100_v100_Variant_12,1,0,0,1,0,0,0,1,0,0,0,0,0,1,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,699490
clang_32_32_32_32_2_100_v100_Variant_13,1,0,0,0,1,0,0,0,0,1,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,95772
clang_32_32_32_32_2_100_v100_Variant_14,1,0,0,0,1,0,0,0,0,1,0,0,1,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,436
clang_32_32_32_32_2_100_v100_Variant_15,1,0,0,0,1,0,0,0,0,1,0,0,0,1,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,296
clang_32_32_32_32_2_100_v100_Variant_16,1,0,0,0,1,0,0,0,1,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,87244
clang_32_32_32_32_2_100_v100_Variant_17,1,0,0,0,1,0,0,0,1,0,0,0,1,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,658
