Device,scheduling,collapse,mem_to,mem_from,LX,LY,LZ,LT,runtime(us)
CPU,static,4,0,0,48,48,48,16,127097
GPU0,static,1,700084800,84934656,48,48,48,16,1087222
GPU0,static,2,700084800,84934656,48,48,48,16,458434
GPU0,static,3,700084800,84934656,48,48,48,16,204348
GPU0,static,4,700084800,84934656,48,48,48,16,198264
GPU0,dynamic,1,700084800,84934656,48,48,48,16,8708945
GPU0,dynamic,2,700084800,84934656,48,48,48,16,1868485
GPU0,dynamic,3,700084800,84934656,48,48,48,16,411936
GPU0,dynamic,4,700084800,84934656,48,48,48,16,360516
GPU0,guided,1,700084800,84934656,48,48,48,16,8749823
GPU0,guided,2,700084800,84934656,48,48,48,16,1886650
GPU0,guided,3,700084800,84934656,48,48,48,16,414999
GPU0,guided,4,700084800,84934656,48,48,48,16,360395
