Kernel,Outer,Inner,Reduction,VarDecl,refExpr,intLiteral,floatLiteral,mem_to,mem_from,add_sub_int,add_sub_double,mul_int,mul_double,div_int,div_double,assign_int,assign_double,log_Outer,log_Inner,log_VarDecl,log_refExpr,log_intLiteral,log_floatLiteral,log_mem_to,log_mem_from,log_add_sub_int,log_add_sub_double,log_mul_int,log_mul_double,log_div_int,log_div_double,log_assign_int,log_assign_double,runtimes,predicted
wilson_dslash_combined_16_1152,1152,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,3.06145248,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.12290496,6.439729223,6.504454553,0,4.21441994,5.921990117,0.294518,0.30319977
wilson_dslash_combined_16_128,128,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,2.10720997,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.12290496,6.439729223,6.504454553,0,4.21441994,5.921990117,0.326285,0.48279
wilson_dslash_combined_16_16,16,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,1.204119983,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.12290496,6.439729223,6.504454553,0,4.21441994,5.921990117,0.198183,0.6527443
wilson_dslash_combined_16_256,256,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,2.408239966,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.12290496,6.439729223,6.504454553,0,4.21441994,5.921990117,0.326436,0.42613602
wilson_dslash_combined_16_384,384,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,2.584331225,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.12290496,6.439729223,6.504454553,0,4.21441994,5.921990117,0.328157,0.39299393
wilson_dslash_combined_16_512,512,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,2.709269962,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.12290496,6.439729223,6.504454553,0,4.21441994,5.921990117,0.322715,0.36948204
wilson_dslash_combined_16_640,640,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,2.806179975,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.12290496,6.439729223,6.504454553,0,4.21441994,5.921990117,0.306801,0.35124397
wilson_dslash_combined_16_768,768,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,2.885361221,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.12290496,6.439729223,6.504454553,0,4.21441994,5.921990117,0.324536,0.33634758
wilson_dslash_combined_16_896,896,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,2.95230801,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.12290496,6.439729223,6.504454553,0,4.21441994,5.921990117,0.299314,0.32374573
wilson_dslash_combined_256_128,128,256,0,2035969,509420032,276148993,0,0,0,19309056,43253760,21233664,44040192,51118080,0,262144,13369344,2.10720997,2.408239966,6.308771163,8.707076022,8.441143467,0,0,0,7.285761044,7.636023869,7.327024943,7.643849206,7.708574536,0,5.418539924,7.1261101,3.64278,4.2436924
wilson_dslash_combined_256_16,16,256,0,2035969,509420032,276148993,0,0,0,19309056,43253760,21233664,44040192,51118080,0,262144,13369344,1.204119983,2.408239966,6.308771163,8.707076022,8.441143467,0,0,0,7.285761044,7.636023869,7.327024943,7.643849206,7.708574536,0,5.418539924,7.1261101,2.286682,3.5951843
wilson_dslash_combined_256_256,256,256,0,2035969,509420032,276148993,0,0,0,19309056,43253760,21233664,44040192,51118080,0,262144,13369344,2.408239966,2.408239966,6.308771163,8.707076022,8.441143467,0,0,0,7.285761044,7.636023869,7.327024943,7.643849206,7.708574536,0,5.418539924,7.1261101,3.6542,4.4987583
wilson_dslash_combined_256_384,384,256,0,2035969,509420032,276148993,0,0,0,19309056,43253760,21233664,44040192,51118080,0,262144,13369344,2.584331225,2.408239966,6.308771163,8.707076022,8.441143467,0,0,0,7.285761044,7.636023869,7.327024943,7.643849206,7.708574536,0,5.418539924,7.1261101,3.662855,4.647955
wilson_dslash_combined_256_512,512,256,0,2035969,509420032,276148993,0,0,0,19309056,43253760,21233664,44040192,51118080,0,262144,13369344,2.709269962,2.408239966,6.308771163,8.707076022,8.441143467,0,0,0,7.285761044,7.636023869,7.327024943,7.643849206,7.708574536,0,5.418539924,7.1261101,4.358702,4.7538204
wilson_dslash_combined_256_640,640,256,0,2035969,509420032,276148993,0,0,0,19309056,43253760,21233664,44040192,51118080,0,262144,13369344,2.806179975,2.408239966,6.308771163,8.707076022,8.441143467,0,0,0,7.285761044,7.636023869,7.327024943,7.643849206,7.708574536,0,5.418539924,7.1261101,4.499164,4.8359356
wilson_dslash_combined_384_128,128,384,0,3053953,764130048,414223489,0,0,0,28963584,64880640,31850496,66060288,76677120,0,393216,20054016,2.10720997,2.584331225,6.484862351,8.883167281,8.617234725,0,0,0,7.461852304,7.812115128,7.503116202,7.819940465,7.884665795,0,5.594631183,7.302201359,5.383395,6.3223896
wilson_dslash_combined_384_16,16,384,0,3053953,764130048,414223489,0,0,0,28963584,64880640,31850496,66060288,76677120,0,393216,20054016,1.204119983,2.584331225,6.484862351,8.883167281,8.617234725,0,0,0,7.461852304,7.812115128,7.503116202,7.819940465,7.884665795,0,5.594631183,7.302201359,3.306538,5.55311
wilson_dslash_combined_384_256,256,384,0,3053953,764130048,414223489,0,0,0,28963584,64880640,31850496,66060288,76677120,0,393216,20054016,2.408239966,2.584331225,6.484862351,8.883167281,8.617234725,0,0,0,7.461852304,7.812115128,7.503116202,7.819940465,7.884665795,0,5.594631183,7.302201359,5.413956,6.578821
wilson_dslash_combined_384_384,384,384,0,3053953,764130048,414223489,0,0,0,28963584,64880640,31850496,66060288,76677120,0,393216,20054016,2.584331225,2.584331225,6.484862351,8.883167281,8.617234725,0,0,0,7.461852304,7.812115128,7.503116202,7.819940465,7.884665795,0,5.594631183,7.302201359,5.506002,6.728817
wilson_dslash_combined_512_128,128,512,0,4071937,1018840064,552297985,0,0,0,38618112,86507520,42467328,88080384,102236160,0,524288,26738688,2.10720997,2.709269962,6.609801052,9.008106017,8.742173462,0,0,0,7.58679104,7.937053865,7.628054939,7.944879202,8.009604532,0,5.719569919,7.427140096,7.129483,8.16547
wilson_dslash_combined_512_16,16,512,0,4071937,1018840064,552297985,0,0,0,38618112,86507520,42467328,88080384,102236160,0,524288,26738688,1.204119983,2.709269962,6.609801052,9.008106017,8.742173462,0,0,0,7.58679104,7.937053865,7.628054939,7.944879202,8.009604532,0,5.719569919,7.427140096,4.320264,7.2552223
wilson_dslash_combined_512_256,256,512,0,4071937,1018840064,552297985,0,0,0,38618112,86507520,42467328,88080384,102236160,0,524288,26738688,2.408239966,2.709269962,6.609801052,9.008106017,8.742173462,0,0,0,7.58679104,7.937053865,7.628054939,7.944879202,8.009604532,0,5.719569919,7.427140096,7.207104,8.469313
wilson_dslash_combined_640_128,128,640,0,5089921,1273550080,690372481,0,0,0,48272640,108134400,53084160,110100480,127795200,0,655360,33423360,2.10720997,2.806179975,6.706711044,9.105016031,8.839083475,0,0,0,7.683701053,8.033963877,7.724964952,8.041789215,8.106514545,0,5.816479932,7.524050109,8.803327,9.7176695
wilson_dslash_combined_640_16,16,640,0,5089921,1273550080,690372481,0,0,0,48272640,108134400,53084160,110100480,127795200,0,655360,33423360,1.204119983,2.806179975,6.706711044,9.105016031,8.839083475,0,0,0,7.683701053,8.033963877,7.724964952,8.041789215,8.106514545,0,5.816479932,7.524050109,5.395045,8.826222
wilson_dslash_combined_640_256,256,640,0,5089921,1273550080,690372481,0,0,0,48272640,108134400,53084160,110100480,127795200,0,655360,33423360,2.408239966,2.806179975,6.706711044,9.105016031,8.839083475,0,0,0,7.683701053,8.033963877,7.724964952,8.041789215,8.106514545,0,5.816479932,7.524050109,9.022602,10.0148115
wilson_dslash_combined_768_128,128,768,0,6107905,1528260096,828446977,0,0,0,57927168,129761280,63700992,132120576,153354240,0,786432,40108032,2.10720997,2.885361221,6.785892276,9.184197277,8.91826472,0,0,0,7.7628823,8.113145124,7.804146198,8.120970461,8.185695791,0,5.895661178,7.603231355,10.556656,10.956159
wilson_dslash_combined_768_16,16,768,0,6107905,1528260096,828446977,0,0,0,57927168,129761280,63700992,132120576,153354240,0,786432,40108032,1.204119983,2.885361221,6.785892276,9.184197277,8.91826472,0,0,0,7.7628823,8.113145124,7.804146198,8.120970461,8.185695791,0,5.895661178,7.603231355,6.363127,10.064713
