Kernel,Outer,Inner,Reduction,VarDecl,refExpr,intLiteral,floatLiteral,mem_to,mem_from,add_sub_int,add_sub_double,mul_int,mul_double,div_int,div_double,assign_int,assign_double,log_Outer,log_Inner,log_VarDecl,log_refExpr,log_intLiteral,log_floatLiteral,log_mem_to,log_mem_from,log_add_sub_int,log_add_sub_double,log_mul_int,log_mul_double,log_div_int,log_div_double,log_assign_int,log_assign_double,runtimes,predicted
wilson_dslash_combined_16_512,512,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,2.709269962,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.12290496,6.439729223,6.504454553,0,4.21441994,5.921990117,0.045938,0.062084675
wilson_dslash_combined_16_640,640,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,2.806179975,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.12290496,6.439729223,6.504454553,0,4.21441994,5.921990117,0.053237,0.06284952
wilson_dslash_combined_16_768,768,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,2.885361221,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.12290496,6.439729223,6.504454553,0,4.21441994,5.921990117,0.045991,0.063473225
wilson_dslash_combined_16_896,896,16,0,127249,31838752,17259313,0,0,0,1206816,2703360,1327104,2752512,3194880,0,16384,835584,2.95230801,1.204119983,5.104654379,7.502956039,7.237023507,0,0,0,6.081641061,6.431903885,6.12290496,6.439729223,6.504454553,0,4.21441994,5.921990117,0.04637,0.06400108
wilson_dslash_combined_256_128,128,256,0,2035969,509420032,276148993,0,0,0,19309056,43253760,21233664,44040192,51118080,0,262144,13369344,2.10720997,2.408239966,6.308771163,8.707076022,8.441143467,0,0,0,7.285761044,7.636023869,7.327024943,7.643849206,7.708574536,0,5.418539924,7.1261101,0.731523,0.68590164
wilson_dslash_combined_256_16,16,256,0,2035969,509420032,276148993,0,0,0,19309056,43253760,21233664,44040192,51118080,0,262144,13369344,1.204119983,2.408239966,6.308771163,8.707076022,8.441143467,0,0,0,7.285761044,7.636023869,7.327024943,7.643849206,7.708574536,0,5.418539924,7.1261101,0.352462,0.6667757
wilson_dslash_combined_256_256,256,256,0,2035969,509420032,276148993,0,0,0,19309056,43253760,21233664,44040192,51118080,0,262144,13369344,2.408239966,2.408239966,6.308771163,8.707076022,8.441143467,0,0,0,7.285761044,7.636023869,7.327024943,7.643849206,7.708574536,0,5.418539924,7.1261101,0.724201,0.69227743
wilson_dslash_combined_256_384,384,256,0,2035969,509420032,276148993,0,0,0,19309056,43253760,21233664,44040192,51118080,0,262144,13369344,2.584331225,2.408239966,6.308771163,8.707076022,8.441143467,0,0,0,7.285761044,7.636023869,7.327024943,7.643849206,7.708574536,0,5.418539924,7.1261101,0.724274,0.69600725
wilson_dslash_combined_256_512,512,256,0,2035969,509420032,276148993,0,0,0,19309056,43253760,21233664,44040192,51118080,0,262144,13369344,2.709269962,2.408239966,6.308771163,8.707076022,8.441143467,0,0,0,7.285761044,7.636023869,7.327024943,7.643849206,7.708574536,0,5.418539924,7.1261101,0.729243,0.69865274
wilson_dslash_combined_256_640,640,256,0,2035969,509420032,276148993,0,0,0,19309056,43253760,21233664,44040192,51118080,0,262144,13369344,2.806179975,2.408239966,6.308771163,8.707076022,8.441143467,0,0,0,7.285761044,7.636023869,7.327024943,7.643849206,7.708574536,0,5.418539924,7.1261101,0.725926,0.70070314
wilson_dslash_combined_256_768,768,256,0,2035969,509420032,276148993,0,0,0,19309056,43253760,21233664,44040192,51118080,0,262144,13369344,2.885361221,2.408239966,6.308771163,8.707076022,8.441143467,0,0,0,7.285761044,7.636023869,7.327024943,7.643849206,7.708574536,0,5.418539924,7.1261101,0.731757,0.70238113
