Device,scheduling,collapse,mem_to,mem_from,LX,LY,LZ,LT,runtime(us)
CPU,static,4,0,0,16,48,96,96,80041
GPU0,static,1,2851028544,339738624,16,48,96,96,1482176
GPU1,static,1,2851028544,339738624,16,48,96,96,1488422
GPU0,static,2,2851028544,339738624,16,48,96,96,374944
GPU1,static,2,2851028544,339738624,16,48,96,96,388081
GPU1,static,3,2851028544,339738624,16,48,96,96,377037
GPU0,static,3,2851028544,339738624,16,48,96,96,397703
GPU1,static,4,2851028544,339738624,16,48,96,96,346506
GPU0,static,4,2851028544,339738624,16,48,96,96,410850
GPU1,dynamic,1,2851028544,339738624,16,48,96,96,23227134
GPU0,dynamic,1,2851028544,339738624,16,48,96,96,23289371
GPU1,dynamic,2,2851028544,339738624,16,48,96,96,709013
GPU0,dynamic,2,2851028544,339738624,16,48,96,96,738395
GPU1,dynamic,3,2851028544,339738624,16,48,96,96,545423
GPU0,dynamic,3,2851028544,339738624,16,48,96,96,562403
GPU1,dynamic,4,2851028544,339738624,16,48,96,96,560611
GPU0,dynamic,4,2851028544,339738624,16,48,96,96,578356
GPU0,guided,1,2851028544,339738624,16,48,96,96,23379440
GPU1,guided,1,2851028544,339738624,16,48,96,96,23379838
GPU0,guided,2,2851028544,339738624,16,48,96,96,748732
GPU1,guided,2,2851028544,339738624,16,48,96,96,759758
GPU0,guided,3,2851028544,339738624,16,48,96,96,536111
GPU1,guided,3,2851028544,339738624,16,48,96,96,554862
GPU0,guided,4,2851028544,339738624,16,48,96,96,529276
GPU1,guided,4,2851028544,339738624,16,48,96,96,551320
