Device,scheduling,collapse,mem_to,mem_from,LX,LY,LZ,LT,runtime(us)
CPU,static,4,0,0,96,16,96,96,224518
GPU5,static,1,5344299072,679477248,96,16,96,96,5218327
GPU4,static,1,5344299072,679477248,96,16,96,96,5239316
GPU0,static,1,5344299072,679477248,96,16,96,96,5583006
GPU3,static,1,5344299072,679477248,96,16,96,96,5623166
GPU2,static,1,5344299072,679477248,96,16,96,96,5628575
GPU1,static,1,5344299072,679477248,96,16,96,96,5665636
GPU4,static,2,5344299072,679477248,96,16,96,96,2749748
GPU5,static,2,5344299072,679477248,96,16,96,96,2755736
GPU0,static,2,5344299072,679477248,96,16,96,96,3097224
GPU2,static,2,5344299072,679477248,96,16,96,96,3100833
GPU1,static,2,5344299072,679477248,96,16,96,96,3105100
GPU3,static,2,5344299072,679477248,96,16,96,96,3111035
GPU5,static,3,5344299072,679477248,96,16,96,96,2597077
GPU4,static,3,5344299072,679477248,96,16,96,96,2603680
GPU0,static,3,5344299072,679477248,96,16,96,96,3140491
GPU1,static,3,5344299072,679477248,96,16,96,96,3143617
GPU2,static,3,5344299072,679477248,96,16,96,96,3148420
GPU3,static,3,5344299072,679477248,96,16,96,96,3154250
GPU4,static,4,5344299072,679477248,96,16,96,96,2558329
GPU5,static,4,5344299072,679477248,96,16,96,96,2564599
GPU3,static,4,5344299072,679477248,96,16,96,96,2978896
GPU0,static,4,5344299072,679477248,96,16,96,96,2981998
GPU2,static,4,5344299072,679477248,96,16,96,96,3033645
GPU1,static,4,5344299072,679477248,96,16,96,96,3039543
GPU5,dynamic,1,5344299072,679477248,96,16,96,96,4822177
GPU4,dynamic,1,5344299072,679477248,96,16,96,96,4843094
GPU0,dynamic,1,5344299072,679477248,96,16,96,96,5340839
GPU2,dynamic,1,5344299072,679477248,96,16,96,96,5381283
GPU3,dynamic,1,5344299072,679477248,96,16,96,96,5386116
GPU1,dynamic,1,5344299072,679477248,96,16,96,96,5422914
GPU4,dynamic,2,5344299072,679477248,96,16,96,96,3067432
GPU5,dynamic,2,5344299072,679477248,96,16,96,96,3072688
GPU1,dynamic,2,5344299072,679477248,96,16,96,96,3133243
GPU2,dynamic,2,5344299072,679477248,96,16,96,96,3136896
GPU0,dynamic,2,5344299072,679477248,96,16,96,96,3142213
GPU3,dynamic,2,5344299072,679477248,96,16,96,96,3149698
GPU5,dynamic,3,5344299072,679477248,96,16,96,96,2635444
GPU4,dynamic,3,5344299072,679477248,96,16,96,96,2642023
GPU1,dynamic,3,5344299072,679477248,96,16,96,96,3159249
GPU0,dynamic,3,5344299072,679477248,96,16,96,96,3162407
GPU3,dynamic,3,5344299072,679477248,96,16,96,96,3166698
GPU2,dynamic,3,5344299072,679477248,96,16,96,96,3172988
GPU5,dynamic,4,5344299072,679477248,96,16,96,96,2629380
GPU4,dynamic,4,5344299072,679477248,96,16,96,96,2636190
GPU1,dynamic,4,5344299072,679477248,96,16,96,96,3192434
GPU3,dynamic,4,5344299072,679477248,96,16,96,96,3195749
GPU0,dynamic,4,5344299072,679477248,96,16,96,96,3200008
GPU2,dynamic,4,5344299072,679477248,96,16,96,96,3206292
GPU4,guided,1,5344299072,679477248,96,16,96,96,4979061
GPU5,guided,1,5344299072,679477248,96,16,96,96,4999928
GPU1,guided,1,5344299072,679477248,96,16,96,96,5537396
GPU3,guided,1,5344299072,679477248,96,16,96,96,5583938
GPU0,guided,1,5344299072,679477248,96,16,96,96,5634552
GPU2,guided,1,5344299072,679477248,96,16,96,96,5640940
GPU5,guided,2,5344299072,679477248,96,16,96,96,2493526
GPU4,guided,2,5344299072,679477248,96,16,96,96,2500258
GPU2,guided,2,5344299072,679477248,96,16,96,96,2929964
GPU1,guided,2,5344299072,679477248,96,16,96,96,2933074
GPU0,guided,2,5344299072,679477248,96,16,96,96,2937480
GPU3,guided,2,5344299072,679477248,96,16,96,96,2943362
GPU5,guided,3,5344299072,679477248,96,16,96,96,2666936
GPU4,guided,3,5344299072,679477248,96,16,96,96,2673228
GPU1,guided,3,5344299072,679477248,96,16,96,96,3103383
GPU0,guided,3,5344299072,679477248,96,16,96,96,3106492
GPU2,guided,3,5344299072,679477248,96,16,96,96,3111058
GPU3,guided,3,5344299072,679477248,96,16,96,96,3117002
GPU5,guided,4,5344299072,679477248,96,16,96,96,2588534
GPU4,guided,4,5344299072,679477248,96,16,96,96,2594595
GPU1,guided,4,5344299072,679477248,96,16,96,96,3077273
GPU0,guided,4,5344299072,679477248,96,16,96,96,3080374
GPU3,guided,4,5344299072,679477248,96,16,96,96,3084437
GPU2,guided,4,5344299072,679477248,96,16,96,96,3090735
