Device,scheduling,collapse,mem_to,mem_from,LX,LY,LZ,LT,runtime(us)
CPU,static,4,0,0,48,48,96,48,232518
GPU6,static,1,3965236800,509607936,48,48,96,48,23272081
GPU0,static,1,3965236800,509607936,48,48,96,48,23787049
GPU7,static,1,3965236800,509607936,48,48,96,48,24109081
GPU1,static,1,3965236800,509607936,48,48,96,48,24122946
GPU3,static,1,3965236800,509607936,48,48,96,48,24444628
GPU2,static,1,3965236800,509607936,48,48,96,48,24726792
GPU5,static,1,3965236800,509607936,48,48,96,48,25010494
GPU4,static,1,3965236800,509607936,48,48,96,48,25292625
GPU7,static,2,3965236800,509607936,48,48,96,48,2100692
GPU6,static,2,3965236800,509607936,48,48,96,48,2424433
GPU0,static,2,3965236800,509607936,48,48,96,48,2748212
GPU4,static,2,3965236800,509607936,48,48,96,48,2759612
GPU5,static,2,3965236800,509607936,48,48,96,48,3083154
GPU1,static,2,3965236800,509607936,48,48,96,48,3093024
GPU3,static,2,3965236800,509607936,48,48,96,48,3102271
GPU2,static,2,3965236800,509607936,48,48,96,48,3111302
GPU7,static,3,3965236800,509607936,48,48,96,48,1627834
GPU6,static,3,3965236800,509607936,48,48,96,48,1950070
GPU1,static,3,3965236800,509607936,48,48,96,48,2274320
GPU0,static,3,3965236800,509607936,48,48,96,48,2285953
GPU3,static,3,3965236800,509607936,48,48,96,48,2611587
GPU2,static,3,3965236800,509607936,48,48,96,48,2624478
GPU5,static,3,3965236800,509607936,48,48,96,48,2908174
GPU4,static,3,3965236800,509607936,48,48,96,48,2920104
GPU7,static,4,3965236800,509607936,48,48,96,48,1592157
GPU6,static,4,3965236800,509607936,48,48,96,48,1914939
GPU0,static,4,3965236800,509607936,48,48,96,48,1928703
GPU1,static,4,3965236800,509607936,48,48,96,48,2254594
GPU3,static,4,3965236800,509607936,48,48,96,48,2579377
GPU4,static,4,3965236800,509607936,48,48,96,48,2590793
GPU5,static,4,3965236800,509607936,48,48,96,48,2599834
GPU2,static,4,3965236800,509607936,48,48,96,48,2921757
GPU6,dynamic,1,3965236800,509607936,48,48,96,48,740537550
GPU0,dynamic,1,3965236800,509607936,48,48,96,48,747747571
GPU3,dynamic,1,3965236800,509607936,48,48,96,48,750025370
GPU2,dynamic,1,3965236800,509607936,48,48,96,48,752744667
GPU5,dynamic,1,3965236800,509607936,48,48,96,48,753223829
GPU1,dynamic,1,3965236800,509607936,48,48,96,48,753547145
GPU7,dynamic,1,3965236800,509607936,48,48,96,48,759214035
GPU4,dynamic,1,3965236800,509607936,48,48,96,48,767794442
GPU6,dynamic,2,3965236800,509607936,48,48,96,48,20742863
GPU4,dynamic,2,3965236800,509607936,48,48,96,48,21064609
GPU2,dynamic,2,3965236800,509607936,48,48,96,48,21386917
GPU0,dynamic,2,3965236800,509607936,48,48,96,48,21400728
GPU5,dynamic,2,3965236800,509607936,48,48,96,48,21722713
GPU3,dynamic,2,3965236800,509607936,48,48,96,48,21736397
GPU7,dynamic,2,3965236800,509607936,48,48,96,48,21745651
GPU1,dynamic,2,3965236800,509607936,48,48,96,48,22067550
GPU7,dynamic,3,3965236800,509607936,48,48,96,48,12630566
GPU6,dynamic,3,3965236800,509607936,48,48,96,48,12912922
