Device,scheduling,collapse,mem_to,mem_from,LX,LY,LZ,LT,runtime(us)
CPU,static,4,0,0,96,96,48,16,556899
GPU5,static,1,2703887424,339738624,96,96,48,16,5728247
GPU0,static,1,2703887424,339738624,96,96,48,16,5901568
GPU1,static,1,2703887424,339738624,96,96,48,16,5920733
GPU4,static,1,2703887424,339738624,96,96,48,16,5989630
GPU2,static,1,2703887424,339738624,96,96,48,16,6179712
GPU3,static,1,2703887424,339738624,96,96,48,16,6195224
GPU4,static,2,2703887424,339738624,96,96,48,16,1594118
GPU5,static,2,2703887424,339738624,96,96,48,16,1595902
GPU2,static,2,2703887424,339738624,96,96,48,16,1737813
GPU3,static,2,2703887424,339738624,96,96,48,16,1739629
GPU1,static,2,2703887424,339738624,96,96,48,16,1742307
GPU0,static,2,2703887424,339738624,96,96,48,16,1746395
GPU5,static,3,2703887424,339738624,96,96,48,16,1299235
GPU4,static,3,2703887424,339738624,96,96,48,16,1302887
GPU1,static,3,2703887424,339738624,96,96,48,16,1559016
GPU3,static,3,2703887424,339738624,96,96,48,16,1560721
GPU2,static,3,2703887424,339738624,96,96,48,16,1563198
GPU0,static,3,2703887424,339738624,96,96,48,16,1566216
GPU5,static,4,2703887424,339738624,96,96,48,16,1331186
GPU4,static,4,2703887424,339738624,96,96,48,16,1334561
GPU2,static,4,2703887424,339738624,96,96,48,16,1610829
GPU0,static,4,2703887424,339738624,96,96,48,16,1612508
GPU1,static,4,2703887424,339738624,96,96,48,16,1614799
GPU3,static,4,2703887424,339738624,96,96,48,16,1617901
GPU5,dynamic,1,2703887424,339738624,96,96,48,16,5900763
GPU0,dynamic,1,2703887424,339738624,96,96,48,16,5934783
GPU1,dynamic,1,2703887424,339738624,96,96,48,16,5953846
GPU4,dynamic,1,2703887424,339738624,96,96,48,16,6180534
GPU2,dynamic,1,2703887424,339738624,96,96,48,16,6236270
GPU3,dynamic,1,2703887424,339738624,96,96,48,16,6252034
GPU4,dynamic,2,2703887424,339738624,96,96,48,16,1437849
GPU5,dynamic,2,2703887424,339738624,96,96,48,16,1439646
GPU2,dynamic,2,2703887424,339738624,96,96,48,16,1622910
GPU3,dynamic,2,2703887424,339738624,96,96,48,16,1624733
GPU0,dynamic,2,2703887424,339738624,96,96,48,16,1627449
GPU1,dynamic,2,2703887424,339738624,96,96,48,16,1631266
GPU4,dynamic,3,2703887424,339738624,96,96,48,16,1413226
GPU5,dynamic,3,2703887424,339738624,96,96,48,16,1421694
GPU2,dynamic,3,2703887424,339738624,96,96,48,16,1603080
GPU0,dynamic,3,2703887424,339738624,96,96,48,16,1605001
GPU3,dynamic,3,2703887424,339738624,96,96,48,16,1607678
GPU1,dynamic,3,2703887424,339738624,96,96,48,16,1611522
GPU5,dynamic,4,2703887424,339738624,96,96,48,16,1379117
GPU4,dynamic,4,2703887424,339738624,96,96,48,16,1383034
GPU0,dynamic,4,2703887424,339738624,96,96,48,16,1631451
GPU1,dynamic,4,2703887424,339738624,96,96,48,16,1633271
GPU2,dynamic,4,2703887424,339738624,96,96,48,16,1635732
GPU3,dynamic,4,2703887424,339738624,96,96,48,16,1638857
GPU5,guided,1,2703887424,339738624,96,96,48,16,5774662
GPU1,guided,1,2703887424,339738624,96,96,48,16,6014088
GPU0,guided,1,2703887424,339738624,96,96,48,16,6033183
GPU4,guided,1,2703887424,339738624,96,96,48,16,6087249
GPU2,guided,1,2703887424,339738624,96,96,48,16,6318964
GPU3,guided,1,2703887424,339738624,96,96,48,16,6334499
GPU5,guided,2,2703887424,339738624,96,96,48,16,1450829
GPU4,guided,2,2703887424,339738624,96,96,48,16,1452655
GPU2,guided,2,2703887424,339738624,96,96,48,16,1675361
GPU3,guided,2,2703887424,339738624,96,96,48,16,1677222
GPU0,guided,2,2703887424,339738624,96,96,48,16,1679542
GPU1,guided,2,2703887424,339738624,96,96,48,16,1682529
GPU4,guided,3,2703887424,339738624,96,96,48,16,1326298
GPU5,guided,3,2703887424,339738624,96,96,48,16,1329594
GPU2,guided,3,2703887424,339738624,96,96,48,16,1604076
GPU3,guided,3,2703887424,339738624,96,96,48,16,1605779
GPU0,guided,3,2703887424,339738624,96,96,48,16,1608112
GPU1,guided,3,2703887424,339738624,96,96,48,16,1611100
GPU5,guided,4,2703887424,339738624,96,96,48,16,1382073
GPU4,guided,4,2703887424,339738624,96,96,48,16,1385496
GPU2,guided,4,2703887424,339738624,96,96,48,16,1591924
GPU1,guided,4,2703887424,339738624,96,96,48,16,1593624
GPU0,guided,4,2703887424,339738624,96,96,48,16,1595575
GPU3,guided,4,2703887424,339738624,96,96,48,16,1598639
