Variant,distribute-collapse,parallel_position,scheduling,collapse,mem_to,mem_from,mem_alloc,mem_delete,LX,LY,LZ,LT,runtime(us)
CPU,none,none,none,1,0,0,0,0,32,32,32,64,180120
transform1,1,1,static,4,0,0,0,0,32,32,32,64,74215
transform2,1,1,dynamic,4,0,0,0,0,32,32,32,64,135731
transform3,1,1,guided,4,0,0,0,0,32,32,32,64,136386
transform4,1,1,static,3,0,0,0,0,32,32,32,64,151495
transform5,1,1,dynamic,3,0,0,0,0,32,32,32,64,147533
transform6,1,1,guided,3,0,0,0,0,32,32,32,64,83951
transform7,1,1,static,2,0,0,0,0,32,32,32,64,160005
transform8,1,1,dynamic,2,0,0,0,0,32,32,32,64,159783
transform9,1,1,guided,2,0,0,0,0,32,32,32,64,146757
transform10,1,1,static,1,0,0,0,0,32,32,32,64,456854
transform11,1,1,dynamic,1,0,0,0,0,32,32,32,64,465432
transform12,1,1,guided,1,0,0,0,0,32,32,32,64,458492
transform13,1,2,static,3,0,0,0,0,32,32,32,64,155261
transform14,1,2,dynamic,3,0,0,0,0,32,32,32,64,156339
transform15,1,2,guided,3,0,0,0,0,32,32,32,64,157554
transform16,1,2,static,2,0,0,0,0,32,32,32,64,155586
transform17,1,2,dynamic,2,0,0,0,0,32,32,32,64,156164
transform18,1,2,guided,2,0,0,0,0,32,32,32,64,156284
transform19,1,2,static,1,0,0,0,0,32,32,32,64,144820
transform20,1,2,dynamic,1,0,0,0,0,32,32,32,64,155534
transform21,1,2,guided,1,0,0,0,0,32,32,32,64,148411
transform22,1,3,static,2,0,0,0,0,32,32,32,64,93715
transform23,1,3,dynamic,2,0,0,0,0,32,32,32,64,160659
transform24,1,3,guided,2,0,0,0,0,32,32,32,64,155572
transform25,1,3,static,1,0,0,0,0,32,32,32,64,156283
transform26,1,3,dynamic,1,0,0,0,0,32,32,32,64,146277
transform27,1,3,guided,1,0,0,0,0,32,32,32,64,142769
transform28,1,4,static,1,0,0,0,0,32,32,32,64,151025
transform29,1,4,dynamic,1,0,0,0,0,32,32,32,64,146151
transform30,1,4,guided,1,0,0,0,0,32,32,32,64,148883
transform31,2,3,static,2,0,0,0,0,32,32,32,64,140148
transform32,2,3,dynamic,2,0,0,0,0,32,32,32,64,134487
transform33,2,3,guided,2,0,0,0,0,32,32,32,64,131921
transform34,2,3,static,1,0,0,0,0,32,32,32,64,133794
transform35,2,3,dynamic,1,0,0,0,0,32,32,32,64,149451
transform36,2,3,guided,1,0,0,0,0,32,32,32,64,82345
transform37,2,4,static,1,0,0,0,0,32,32,32,64,126226
transform38,2,4,dynamic,1,0,0,0,0,32,32,32,64,143231
transform39,2,4,guided,1,0,0,0,0,32,32,32,64,128599
transform40,3,4,static,1,0,0,0,0,32,32,32,64,126229
transform41,3,4,dynamic,1,0,0,0,0,32,32,32,64,123624
transform42,3,4,guided,1,0,0,0,0,32,32,32,64,131223
