Variant,distribute-collapse,parallel_position,scheduling,collapse,mem_to,mem_from,mem_alloc,mem_delete,LX,LY,LZ,LT,runtime(us)
CPU,none,none,none,1,527040,24576,24576,527040,4,4,4,8,46
transform1,1,1,static,4,527040,24576,24576,527040,4,4,4,8,581
transform2,1,1,dynamic,4,527040,24576,24576,527040,4,4,4,8,466
transform3,1,1,guided,4,527040,24576,24576,527040,4,4,4,8,306
transform4,1,1,static,3,527040,24576,24576,527040,4,4,4,8,472
transform5,1,1,dynamic,3,527040,24576,24576,527040,4,4,4,8,475
transform6,1,1,guided,3,527040,24576,24576,527040,4,4,4,8,190
transform7,1,1,static,2,527040,24576,24576,527040,4,4,4,8,608
transform8,1,1,dynamic,2,527040,24576,24576,527040,4,4,4,8,604
transform9,1,1,guided,2,527040,24576,24576,527040,4,4,4,8,602
transform10,1,1,static,1,527040,24576,24576,527040,4,4,4,8,1131
transform11,1,1,dynamic,1,527040,24576,24576,527040,4,4,4,8,1132
transform12,1,1,guided,1,527040,24576,24576,527040,4,4,4,8,1063
transform13,1,2,static,3,527040,24576,24576,527040,4,4,4,8,496
transform14,1,2,dynamic,3,527040,24576,24576,527040,4,4,4,8,494
transform15,1,2,guided,3,527040,24576,24576,527040,4,4,4,8,496
transform16,1,2,static,2,527040,24576,24576,527040,4,4,4,8,492
transform17,1,2,dynamic,2,527040,24576,24576,527040,4,4,4,8,496
transform18,1,2,guided,2,527040,24576,24576,527040,4,4,4,8,492
transform19,1,2,static,1,527040,24576,24576,527040,4,4,4,8,531
transform20,1,2,dynamic,1,527040,24576,24576,527040,4,4,4,8,618
transform21,1,2,guided,1,527040,24576,24576,527040,4,4,4,8,619
transform22,1,3,static,2,527040,24576,24576,527040,4,4,4,8,496
transform23,1,3,dynamic,2,527040,24576,24576,527040,4,4,4,8,513
transform24,1,3,guided,2,527040,24576,24576,527040,4,4,4,8,514
transform25,1,3,static,1,527040,24576,24576,527040,4,4,4,8,535
transform26,1,3,dynamic,1,527040,24576,24576,527040,4,4,4,8,536
transform27,1,3,guided,1,527040,24576,24576,527040,4,4,4,8,533
transform28,1,4,static,1,527040,24576,24576,527040,4,4,4,8,554
transform29,1,4,dynamic,1,527040,24576,24576,527040,4,4,4,8,532
transform30,1,4,guided,1,527040,24576,24576,527040,4,4,4,8,533
transform31,2,3,static,2,527040,24576,24576,527040,4,4,4,8,465
transform32,2,3,dynamic,2,527040,24576,24576,527040,4,4,4,8,512
transform33,2,3,guided,2,527040,24576,24576,527040,4,4,4,8,465
transform34,2,3,static,1,527040,24576,24576,527040,4,4,4,8,473
transform35,2,3,dynamic,1,527040,24576,24576,527040,4,4,4,8,191
transform36,2,3,guided,1,527040,24576,24576,527040,4,4,4,8,477
transform37,2,4,static,1,527040,24576,24576,527040,4,4,4,8,469
transform38,2,4,dynamic,1,527040,24576,24576,527040,4,4,4,8,192
transform39,2,4,guided,1,527040,24576,24576,527040,4,4,4,8,475
transform40,3,4,static,1,527040,24576,24576,527040,4,4,4,8,462
transform41,3,4,dynamic,1,527040,24576,24576,527040,4,4,4,8,182
transform42,3,4,guided,1,527040,24576,24576,527040,4,4,4,8,460
