no_of_nodes,mem_to,mem_from,time(s),time(us)
1000,67360,4000,0.0662291,66229.1
2000,133344,8000,0.060142,60142
3000,201288,12000,0.0593529,59352.9
4000,268528,16000,0.0599971,59997.1
5000,337136,20000,0.060627,60627
6000,403664,24000,0.0614719,61471.9
7000,470152,28000,0.0605679,60567.9
8000,536520,32000,0.0602269,60226.9
9000,603304,36000,0.0587709,58770.9
10000,669208,40000,0.0611482,61148.2
11000,736480,44000,0.0605042,60504.2
12000,802288,48000,0.0604,60400
13000,870528,52000,0.0602448,60244.8
14000,937872,56000,0.0598922,59892.2
15000,1004800,60000,0.0610771,61077.1
16000,1070464,64000,0.060107,60107
17000,1138104,68000,0.0616441,61644.1
18000,1205928,72000,0.059844,59844
19000,1272168,76000,0.0605102,60510.2
20000,1338872,80000,0.0603089,60308.9
21000,1406840,84000,0.060576,60576
22000,1473984,88000,0.0599692,59969.2
23000,1541016,92000,0.060612,60612
24000,1607472,96000,0.0604589,60458.9
25000,1675848,100000,0.0600419,60041.9
26000,1741944,104000,0.060183,60183
27000,1808208,108000,0.0605252,60525.2
28000,1874328,112000,0.0607679,60767.9
29000,1942424,116000,0.0606189,60618.9
30000,2008416,120000,0.0601618,60161.8
31000,2074600,124000,0.061584,61584
32000,2141016,128000,0.0607531,60753.1
33000,2207520,132000,0.0610731,61073.1
34000,2275088,136000,0.0611029,61102.9
35000,2341720,140000,0.0607588,60758.8
36000,2409656,144000,0.0603421,60342.1
37000,2478136,148000,0.0608671,60867.1
38000,2544488,152000,0.0607941,60794.1
39000,2611776,156000,0.0601759,60175.9
40000,2678032,160000,0.0606079,60607.9
41000,2745592,164000,0.058774,58774
42000,2811496,168000,0.0597389,59738.9
43000,2878368,172000,0.060765,60765
44000,2945936,176000,0.0602379,60237.9
45000,3012640,180000,0.0601552,60155.2
46000,3079192,184000,0.0589812,58981.2
47000,3146024,188000,0.0604761,60476.1
48000,3212968,192000,0.0607271,60727.1
49000,3279224,196000,0.0599241,59924.1
50000,3344856,200000,0.0606499,60649.9
51000,3412080,204000,0.06055,60550
52000,3477104,208000,0.06129,61290
53000,3544392,212000,0.06161,61610
54000,3611400,216000,0.0610831,61083.1
55000,3677960,220000,0.0616269,61626.9
56000,3745352,224000,0.0611269,61126.9
57000,3812952,228000,0.061522,61522
58000,3879888,232000,0.061626,61626
59000,3947096,236000,0.061368,61368
60000,4014272,240000,0.0625679,62567.9
61000,4081808,244000,0.061574,61574
62000,4148216,248000,0.061141,61141
63000,4213872,252000,0.060607,60607
64000,4281600,256000,0.0601871,60187.1
65000,4348752,260000,0.0613611,61361.1
66000,4415816,264000,0.0606709,60670.9
67000,4482304,268000,0.060631,60631
68000,4548984,272000,0.06199,61990
69000,4614992,276000,0.060817,60817
70000,4682528,280000,0.0606098,60609.8
71000,4749520,284000,0.0605488,60548.8
72000,4816656,288000,0.0603061,60306.1
73000,4883648,292000,0.060195,60195
74000,4950480,296000,0.060658,60658
75000,5019096,300000,0.061317,61317
76000,5085360,304000,0.060606,60606
77000,5152976,308000,0.0615699,61569.9
78000,5219896,312000,0.0609331,60933.1
79000,5286680,316000,0.0613601,61360.1
80000,5353720,320000,0.060827,60827
81000,5420480,324000,0.0610631,61063.1
82000,5486704,328000,0.0610049,61004.9
83000,5555400,332000,0.0617819,61781.9
84000,5621816,336000,0.0614889,61488.9
85000,5687808,340000,0.061264,61264
86000,5755304,344000,0.0607281,60728.1
87000,5822408,348000,0.0600841,60084.1
88000,5887488,352000,0.0612559,61255.9
89000,5955896,356000,0.0615959,61595.9
90000,6023536,360000,0.0615819,61581.9
91000,6089992,364000,0.0618882,61888.2
92000,6156360,368000,0.06092,60920
93000,6222224,372000,0.061188,61188
94000,6290512,376000,0.0610659,61065.9
95000,6356656,380000,0.0600882,60088.2
96000,6423352,384000,0.0617721,61772.1
97000,6490616,388000,0.061362,61362
98000,6557160,392000,0.0609491,60949.1
99000,6624328,396000,0.0607839,60783.9
100000,6689648,400000,0.061734,61734
