no_of_nodes,time(us)
1000,36786
2000,68324
3000,18591
4000,39863
5000,21249
6000,34960
7000,65786
8000,60520
9000,34740
10000,37525
11000,57959
12000,34852
13000,47786
14000,39086
15000,42404
16000,41403
17000,50214
18000,61314
19000,36146
20000,37002
21000,43227
22000,27772
23000,64990
24000,94679
25000,40146
26000,104671
27000,39982
28000,42263
29000,70731
30000,44036
31000,56790
32000,58433
33000,33651
34000,56730
35000,29421
36000,44374
37000,49909
38000,55158
39000,46657
40000,38696
41000,53093
42000,52907
43000,25327
44000,82374
45000,69985
46000,48304
47000,52195
48000,30575
49000,55521
50000,63947
51000,36662
52000,54242
53000,37356
54000,60121
55000,47870
56000,57666
57000,28319
58000,73018
59000,36091
60000,40056
61000,52471
62000,55383
63000,48777
64000,50725
65000,34155
66000,58768
67000,52939
68000,37763
69000,59179
70000,36450
71000,43453
72000,65090
73000,59878
74000,92204
75000,25693
76000,64599
77000,64731
78000,38682
79000,49373
80000,52282
81000,46071
82000,52810
83000,73685
84000,65682
85000,38128
86000,54937
87000,52259
88000,39602
89000,40067
90000,42905
91000,63194
92000,37227
93000,66216
94000,52550
95000,51479
96000,48856
97000,70474
98000,43863
99000,64871
100000,46220
101000,37525
102000,52820
103000,42415
104000,59307
105000,65610
106000,61745
107000,40804
108000,50165
109000,54257
110000,46386
111000,65541
112000,90992
113000,53652
114000,43131
115000,78153
116000,48006
117000,41015
118000,59414
119000,41697
120000,65379
121000,61849
122000,37059
123000,59237
124000,61774
125000,66678
126000,48242
127000,61383
128000,58186
129000,62027
130000,56080
131000,72728
132000,46627
133000,64391
134000,59257
135000,69615
136000,51372
137000,54972
138000,35676
139000,66981
140000,45744
141000,52525
142000,53723
143000,86786
144000,46247
145000,33973
146000,36413
147000,67850
148000,50807
149000,53597
150000,55045
151000,39040
152000,98032
153000,67439
154000,54599
155000,79442
156000,61345
157000,33619
158000,58092
159000,44486
160000,59588
161000,30830
162000,64725
163000,57661
164000,78401
165000,32188
166000,59520
167000,53318
168000,74975
169000,48761
170000,81508
171000,79568
172000,53719
173000,92819
174000,47514
175000,49497
176000,74036
177000,63145
178000,46673
179000,62445
180000,38395
181000,53851
182000,48337
183000,37237
184000,51070
185000,50314
186000,61626
187000,52022
188000,118242
189000,50908
190000,67729
191000,45987
192000,83367
193000,74345
194000,25964
195000,59700
196000,34597
197000,55926
198000,83825
199000,37403
200000,44396
201000,46752
202000,58574
203000,49067
204000,31931
205000,40108
206000,62453
207000,57180
208000,60192
209000,41031
210000,129777
211000,54714
212000,40507
213000,45172
214000,78038
215000,49563
216000,59520
217000,57208
218000,80280
219000,86659
220000,43285
221000,48788
222000,56393
223000,59327
224000,42014
225000,55454
226000,67657
227000,63781
228000,64153
229000,60241
230000,69469
231000,57237
232000,55458
233000,51108
234000,66737
235000,54132
236000,54640
237000,62047
238000,76013
239000,36106
240000,57635
241000,71705
242000,55442
243000,57155
244000,82005
245000,92258
246000,77036
247000,56439
248000,59286
249000,71184
250000,57516
251000,49130
252000,71551
253000,60807
254000,57395
255000,54496
256000,64464
257000,58100
258000,45533
259000,46805
260000,76482
261000,34250
262000,59586
263000,97922
264000,44381
265000,56979
266000,74656
267000,42464
268000,59170
269000,38531
270000,66003
271000,80194
272000,85259
273000,44139
274000,62001
275000,83200
276000,64248
276000,79685
277000,48998
278000,41706
279000,76376
280000,36768
281000,30016
282000,63719
283000,99129
284000,68203
285000,85187
286000,69639
287000,59351
288000,47066
289000,47139
290000,77596
291000,52480
292000,38211
293000,51477
294000,65130
295000,74404
296000,56433
297000,70755
298000,51448
299000,60471
300000,71123
301000,70425
302000,64998
303000,74343
304000,85011
305000,75181
306000,62103
307000,59525
308000,34945
309000,76880
310000,56932
311000,54301
312000,39924
