grid_rows,grid_cols,simulation_time,input_time,mem_to,mem_from,time,time(ms)
2,2,2,2,96,96,0.069271,69271
2,2,2,4,192,192,0.065823,65823
2,2,2,8,384,384,0.064243,64243
2,2,2,16,768,768,0.062082,62082
2,2,2,32,1536,1536,0.062590,62590
2,2,2,64,3072,3072,0.063816,63816
2,2,2,128,6144,6144,0.063371,63371
2,2,2,256,12288,12288,0.062390,62390
2,2,2,512,24576,24576,0.063348,63348
2,2,2,1024,49152,49152,0.064539,64539
2,2,4,2,96,96,0.064013,64013
2,2,4,4,192,192,0.063466,63466
2,2,4,8,384,384,0.060877,60877
2,2,4,16,768,768,0.063731,63731
2,2,4,32,1536,1536,0.059334,59334
2,2,4,64,3072,3072,0.062059,62059
2,2,4,128,6144,6144,0.061600,61600
2,2,4,256,12288,12288,0.059756,59756
2,2,4,512,24576,24576,0.061889,61889
2,2,4,1024,49152,49152,0.060955,60955
2,2,8,2,96,96,0.064140,64140
2,2,8,4,192,192,0.063923,63923
2,2,8,8,384,384,0.061472,61472
2,2,8,16,768,768,0.061339,61339
2,2,8,32,1536,1536,0.060203,60203
2,2,8,64,3072,3072,0.062461,62461
2,2,8,128,6144,6144,0.061684,61684
2,2,8,256,12288,12288,0.063584,63584
2,2,8,512,24576,24576,0.064767,64767
2,2,8,1024,49152,49152,0.060696,60696
2,2,16,2,96,96,0.061304,61304
2,2,16,4,192,192,0.062052,62052
2,2,16,8,384,384,0.060477,60477
2,2,16,16,768,768,0.062514,62514
2,2,16,32,1536,1536,0.062861,62861
2,2,16,64,3072,3072,0.061516,61516
2,2,16,128,6144,6144,0.058546,58546
2,2,16,256,12288,12288,0.060283,60283
2,2,16,512,24576,24576,0.062461,62461
2,2,16,1024,49152,49152,0.063034,63034
2,2,32,2,96,96,0.064480,64480
2,2,32,4,192,192,0.056085,56085
2,2,32,8,384,384,0.063611,63611
2,2,32,16,768,768,0.063340,63340
2,2,32,32,1536,1536,0.062463,62463
2,2,32,64,3072,3072,0.065871,65871
2,2,32,128,6144,6144,0.061835,61835
2,2,32,256,12288,12288,0.061987,61987
2,2,32,512,24576,24576,0.061372,61372
2,2,32,1024,49152,49152,0.062866,62866
2,2,64,2,96,96,0.060426,60426
2,2,64,4,192,192,0.064066,64066
2,2,64,8,384,384,0.062747,62747
2,2,64,16,768,768,0.062118,62118
2,2,64,32,1536,1536,0.061721,61721
2,2,64,64,3072,3072,0.064679,64679
2,2,64,128,6144,6144,0.063606,63606
2,2,64,256,12288,12288,0.060864,60864
2,2,64,512,24576,24576,0.063015,63015
2,2,64,1024,49152,49152,0.060768,60768
2,2,128,2,96,96,0.065590,65590
2,2,128,4,192,192,0.067735,67735
2,2,128,8,384,384,0.064206,64206
2,2,128,16,768,768,0.064717,64717
2,2,128,32,1536,1536,0.063744,63744
2,2,128,64,3072,3072,0.065668,65668
2,2,128,128,6144,6144,0.062444,62444
2,2,128,256,12288,12288,0.067960,67960
2,2,128,512,24576,24576,0.061749,61749
2,2,128,1024,49152,49152,0.065658,65658
2,2,256,2,96,96,0.066899,66899
2,2,256,4,192,192,0.068243,68243
2,2,256,8,384,384,0.065770,65770
2,2,256,16,768,768,0.067925,67925
2,2,256,32,1536,1536,0.067573,67573
2,2,256,64,3072,3072,0.065781,65781
2,2,256,128,6144,6144,0.067982,67982
2,2,256,256,12288,12288,0.068606,68606
2,2,256,512,24576,24576,0.067446,67446
2,2,256,1024,49152,49152,0.067685,67685
2,2,512,2,96,96,0.074185,74185
2,2,512,4,192,192,0.071132,71132
2,2,512,8,384,384,0.074234,74234
2,2,512,16,768,768,0.071931,71931
2,2,512,32,1536,1536,0.073848,73848
2,2,512,64,3072,3072,0.074235,74235
2,2,512,128,6144,6144,0.075746,75746
2,2,512,256,12288,12288,0.073307,73307
2,2,512,512,24576,24576,0.071130,71130
2,2,512,1024,49152,49152,0.073544,73544
2,2,1024,2,96,96,0.083532,83532
2,2,1024,4,192,192,0.084445,84445
2,2,1024,8,384,384,0.079283,79283
2,2,1024,16,768,768,0.086170,86170
2,2,1024,32,1536,1536,0.080157,80157
2,2,1024,64,3072,3072,0.084166,84166
2,2,1024,128,6144,6144,0.081143,81143
2,2,1024,256,12288,12288,0.081563,81563
2,2,1024,512,24576,24576,0.084049,84049
2,2,1024,1024,49152,49152,0.084546,84546
4,4,2,2,384,384,0.062863,62863
4,4,2,4,768,768,0.062666,62666
4,4,2,8,1536,1536,0.062208,62208
4,4,2,16,3072,3072,0.064142,64142
4,4,2,32,6144,6144,0.056166,56166
4,4,2,64,12288,12288,0.063305,63305
4,4,2,128,24576,24576,0.062181,62181
4,4,2,256,49152,49152,0.059262,59262
4,4,2,512,98304,98304,0.060946,60946
4,4,2,1024,196608,196608,0.062186,62186
4,4,4,2,384,384,0.058997,58997
4,4,4,4,768,768,0.061984,61984
4,4,4,8,1536,1536,0.062763,62763
4,4,4,16,3072,3072,0.062531,62531
4,4,4,32,6144,6144,0.061778,61778
4,4,4,64,12288,12288,0.062176,62176
4,4,4,128,24576,24576,0.060300,60300
4,4,4,256,49152,49152,0.062554,62554
4,4,4,512,98304,98304,0.060090,60090
4,4,4,1024,196608,196608,0.063586,63586
4,4,8,2,384,384,0.062201,62201
4,4,8,4,768,768,0.063542,63542
4,4,8,8,1536,1536,0.062273,62273
4,4,8,16,3072,3072,0.059537,59537
4,4,8,32,6144,6144,0.060837,60837
4,4,8,64,12288,12288,0.064155,64155
4,4,8,128,24576,24576,0.063906,63906
4,4,8,256,49152,49152,0.064233,64233
4,4,8,512,98304,98304,0.062328,62328
4,4,8,1024,196608,196608,0.063755,63755
4,4,16,2,384,384,0.055269,55269
4,4,16,4,768,768,0.060575,60575
4,4,16,8,1536,1536,0.061695,61695
4,4,16,16,3072,3072,0.062506,62506
4,4,16,32,6144,6144,0.066028,66028
4,4,16,64,12288,12288,0.064198,64198
4,4,16,128,24576,24576,0.065210,65210
4,4,16,256,49152,49152,0.062853,62853
4,4,16,512,98304,98304,0.063714,63714
4,4,16,1024,196608,196608,0.062238,62238
4,4,32,2,384,384,0.063024,63024
