matrix_dim,block_size,mem_to,mem_from,runtime(s),runtime(us)
100,16,40004,40000,0.095134,95134
1000,16,4000004,4000000,0.216060,216060
10000,16,400000004,400000000,0.091825,91825
100,32,40004,40000,0.245096,245096
1000,32,4000004,4000000,0.290373,290373
10000,32,400000004,400000000,0.768790,768790
1000,4,4000004,4000000,-0.418798,18446744073709132818
1000,8,4000004,4000000,0.244266,244266
1000,32,4000004,4000000,0.384036,384036
1000,8,4000004,4000000,0.278394,278394
1000,8,4000004,4000000,0.239098,239098
1000,8,4000004,4000000,0.238849,238849
1000,8,4000004,4000000,0.238340,238340
1000,8,4000004,4000000,0.271303,271303
1000,8,4000004,4000000,0.238544,238544
100,64,40004,40000,-0.612688,18446744073708938928
1000,64,4000004,4000000,-0.759285,18446744073708792331
100,64,40004,40000,-0.593958,18446744073708957658
1000,64,4000004,4000000,-0.764515,18446744073708787101
100,4,40004,40000,0.078403,78403
100,8,40004,40000,0.070832,70832
100,16,40004,40000,0.087306,87306
100,32,40004,40000,0.220337,220337
1000,4,4000004,4000000,0.545115,545115
1000,8,4000004,4000000,0.239230,239230
1000,16,4000004,4000000,0.263558,263558
1000,32,4000004,4000000,0.354547,354547
2000,4,16000004,16000000,-0.544894,18446744073709006722
2000,8,16000004,16000000,-0.269250,18446744073709282366
2000,16,16000004,16000000,0.418022,418022
2000,32,16000004,16000000,0.208066,208066
4000,4,64000004,64000000,0.202484,202484
4000,8,64000004,64000000,-0.390887,18446744073709160729
4000,16,64000004,64000000,-0.283174,18446744073709268442
4000,32,64000004,64000000,-0.063047,18446744073709488569
6000,4,144000004,144000000,0.654040,654040
6000,8,144000004,144000000,-0.568568,18446744073708983048
6000,16,144000004,144000000,-0.466022,18446744073709085594
6000,32,144000004,144000000,0.260800,260800
8000,4,256000004,256000000,0.064134,64134
8000,8,256000004,256000000,0.167110,167110
8000,16,256000004,256000000,-0.232319,18446744073709319297
8000,32,256000004,256000000,-0.044537,18446744073709507079
10000,4,400000004,400000000,-0.345530,18446744073709206086
10000,8,400000004,400000000,-0.368990,18446744073709182626
10000,16,400000004,400000000,0.570412,570412
10000,32,400000004,400000000,0.219805,219805
15000,4,900000004,900000000,0.706248,706248
15000,8,900000004,900000000,0.074272,74272
