kernel,clang,gcc,nvc,intel,Compiler,Cluster,thread_per_core,core_per_socket,num_sockets,cpu_clock,l1,l2,l3,gpu_name,connector_bandwidth,num_memory_bus, memory_clock,memory_bandwidth, memory_total, sm_clock,num_cores,compute_capability,threads_per_wrap,max_wraps_per_sm,max_threads_per_sm,max_thread_blocks_per_sm,max_32-bit_registers_per_sm,max_registers_per_block,max_registers_per_thread,max_thread_block_size,fp32_cores_per_sm,sm_registers_per_fp32_cores,shared_memory_size_per_sm,collapse,collapse_swap,combined,combined_swap,split,split_swap,outer,inner,reduction,var_decl,ref_expr,int_literal,float_literal,mem_to,mem_from,add_sub_int,add_sub_double,mul_int,mul_double,div_int,div_double,assign_int,assign_double,log_outer,log_inner,log_var_decl,log_ref_expr,log_int_literal,log_float_literal,log_mem_to,log_mem_from,log_add_sub_int,log_add_sub_double,log_mul_int,log_mul_double,log_div_int,log_div_double,log_assign_int,log_assign_double,runtimes
wilson_dslash_collapse_seawulf,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,1,0,0,0,0,0,96,64,0,364609,95428736,51585217,0,9183316032,1207959552,2670720,7495680,2654208,7581696,10543104,0,118784,3760128,6.584962501,6,18.47599065,26.50792043,25.62045435,0,33.09636805,30.169925,21.3487973,22.83762793,21.33985,22.85408918,23.32979634,0,16.857981,21.84235034,12.0005
wilson_dslash_collapse_swap_seawulf,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,1,0,0,0,0,96,64,0,364609,95428736,51585217,0,9183316032,1207959552,2670720,7495680,2654208,7581696,10543104,0,118784,3760128,6.584962501,6,18.47599065,26.50792043,25.62045435,0,33.09636805,30.169925,21.3487973,22.83762793,21.33985,22.85408918,23.32979634,0,16.857981,21.84235034,35.1951
wilson_dslash_combined_seawulf,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,96,64,0,23334977,6107439232,3301454017,0,9183316032,1207959552,170926208,479723520,169869312,485228544,674758656,0,7602176,240648192,6.584962501,6,24.47599071,32.50792046,31.62045441,0,33.09636805,30.169925,27.34879838,28.83762793,27.33985,28.85408918,29.32979634,0,22.857981,27.84235034,30.6518
wilson_dslash_combined_swap_seawulf,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,0,1,0,0,64,96,0,35002465,9161158848,4952181025,0,9183316032,1207959552,256389312,719585280,254803968,727842816,1012137984,0,11403264,360972288,6,6.584962501,25.06095319,33.09288296,32.20541691,0,33.09636805,30.169925,27.93376088,29.42259043,27.9248125,29.43905168,29.91475884,0,23.4429435,28.42731284,42.9388
wilson_dslash_split_seawulf,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,0,0,1,0,96,64,0,23334977,6111633536,3301454017,0,9183316032,1207959552,170926208,479723520,169869312,485228544,674758656,0,7602176,240648192,6.584962501,6,24.47599071,32.50891089,31.62045441,0,33.09636805,30.169925,27.34879838,28.83762793,27.33985,28.85408918,29.32979634,0,22.857981,27.84235034,9.3487
wilson_dslash_split_swap_seawulf,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,0,0,0,1,64,96,0,35002465,9167450304,4952181025,0,9183316032,1207959552,256389312,719585280,254803968,727842816,1012137984,0,11403264,360972288,6,6.584962501,25.06095319,33.09387339,32.20541691,0,33.09636805,30.169925,27.93376088,29.42259043,27.9248125,29.43905168,29.91475884,0,23.4429435,28.42731284,56.03
wilson_dslash_collapse_summit,1,0,0,0,Clang,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,96,64,0,364609,95428736,51585217,0,9183316032,1207959552,2670720,7495680,2654208,7581696,10543104,0,118784,3760128,6.584962501,6,18.47599065,26.50792043,25.62045435,0,33.09636805,30.169925,21.3487973,22.83762793,21.33985,22.85408918,23.32979634,0,16.857981,21.84235034,3.1295
wilson_dslash_collapse_swap_summit,1,0,0,0,Clang,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,0,1,0,0,0,0,96,64,0,364609,95428736,51585217,0,9183316032,1207959552,2670720,7495680,2654208,7581696,10543104,0,118784,3760128,6.584962501,6,18.47599065,26.50792043,25.62045435,0,33.09636805,30.169925,21.3487973,22.83762793,21.33985,22.85408918,23.32979634,0,16.857981,21.84235034,2.7346
wilson_dslash_combined_summit,1,0,0,0,Clang,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,0,0,1,0,0,0,96,64,0,23334977,6107439232,3301454017,0,9183316032,1207959552,170926208,479723520,169869312,485228544,674758656,0,7602176,240648192,6.584962501,6,24.47599071,32.50792046,31.62045441,0,33.09636805,30.169925,27.34879838,28.83762793,27.33985,28.85408918,29.32979634,0,22.857981,27.84235034,8.0242
wilson_dslash_combined_swap_summit,1,0,0,0,Clang,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,0,0,0,1,0,0,64,96,0,35002465,9161158848,4952181025,0,9183316032,1207959552,256389312,719585280,254803968,727842816,1012137984,0,11403264,360972288,6,6.584962501,25.06095319,33.09288296,32.20541691,0,33.09636805,30.169925,27.93376088,29.42259043,27.9248125,29.43905168,29.91475884,0,23.4429435,28.42731284,9.4523
