Kernel,clang,gcc,nvc,intel,Compiler,Cluster,thread_per_core,core_per_socket,num_sockets,cpu_clock,l1,l2,l3,gpu_name,connector_bandwidth,num_memory_bus, memory_clock,memory_bandwidth, memory_total, sm_clock,num_cores,compute_capability,threads_per_wrap,max_wraps_per_sm,max_threads_per_sm,max_thread_blocks_per_sm,max_32-bit_registers_per_sm,max_registers_per_block,max_registers_per_thread,max_thread_block_size,fp32_cores_per_sm,sm_registers_per_fp32_cores,shared_memory_size_per_sm,collapse,collapse_swap,combined,combined_swap,split,split_swap,outer,inner,reduction,var_decl,ref_expr,int_literal,float_literal,mem_to,mem_from,add_sub_int,add_sub_double,mul_int,mul_double,div_int,div_double,assign_int,assign_double,log_outer,log_inner,log_var_decl,log_ref_expr,log_int_literal,log_float_literal,log_mem_to,log_mem_from,log_add_sub_int,log_add_sub_double,log_mul_int,log_mul_double,log_div_int,log_div_double,log_assign_int,log_assign_double,runtimes
BFS1,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,10485760,0,0,10500092,105000916,10500093,0,408986456,408986456,10500093,0,0,0,0,0,10500091,0,23.32192809,0,23.32389863,26.64582667,23.32389877,0,28.60747783,28.60747783,23.32389877,0,0,0,0,0,23.3238985,0,4.043658
BFS2,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,10485760,0,0,0,9,5,0,31457281,31457281,0,0,0,0,0,0,4,0,23.32192809,0,0,3.169925001,2.321928095,0,24.90689064,24.90689064,0,0,0,0,0,0,2,0,0.012907
BFS1,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,10485760,0,0,10500092,105000916,10500093,0,408986456,408986456,10500093,0,0,0,0,0,10500091,0,23.32192809,0,23.32389863,26.64582667,23.32389877,0,28.60747783,28.60747783,23.32389877,0,0,0,0,0,23.3238985,0,12.259064
BFS2,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,10485760,0,0,0,9,5,0,31457281,31457281,0,0,0,0,0,0,4,0,23.32192809,0,0,3.169925001,2.321928095,0,24.90689064,24.90689064,0,0,0,0,0,0,2,0,0.012685
BFS1,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,10485760,0,0,10500092,105000916,10500093,0,408986456,408986456,10500093,0,0,0,0,0,10500091,0,23.32192809,0,23.32389863,26.64582667,23.32389877,0,28.60747783,28.60747783,23.32389877,0,0,0,0,0,23.3238985,0,5.328897
BFS2,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,10485760,0,0,0,9,5,0,31457281,31457281,0,0,0,0,0,0,4,0,23.32192809,0,0,3.169925001,2.321928095,0,24.90689064,24.90689064,0,0,0,0,0,0,2,0,0.012674
BFS1,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,10485760,0,0,10500092,105000916,10500093,0,408986456,408986456,10500093,0,0,0,0,0,10500091,0,23.32192809,0,23.32389863,26.64582667,23.32389877,0,28.60747783,28.60747783,23.32389877,0,0,0,0,0,23.3238985,0,0.125201
BFS2,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,10485760,0,0,0,9,5,0,31457281,31457281,0,0,0,0,0,0,4,0,23.32192809,0,0,3.169925001,2.321928095,0,24.90689064,24.90689064,0,0,0,0,0,0,2,0,0.012746
BFS1,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,11534336,0,0,11546189,115461886,11546190,0,449857960,449857960,11546190,0,0,0,0,0,11546188,0,23.45943162,0,23.46091341,26.78284146,23.46091354,0,28.74489431,28.74489431,23.46091354,0,0,0,0,0,23.46091329,0,8.464656
BFS2,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,11534336,0,0,0,9,5,0,34603009,34603009,0,0,0,0,0,0,4,0,23.45943162,0,0,3.169925001,2.321928095,0,25.04439416,25.04439416,0,0,0,0,0,0,2,0,0.015221
