Kernel,clang,gcc,nvc,intel,Compiler,Cluster,thread_per_core,core_per_socket,num_sockets,cpu_clock,l1,l2,l3,gpu_name,connector_bandwidth,num_memory_bus, memory_clock,memory_bandwidth, memory_total, sm_clock,num_cores,compute_capability,threads_per_wrap,max_wraps_per_sm,max_threads_per_sm,max_thread_blocks_per_sm,max_32-bit_registers_per_sm,max_registers_per_block,max_registers_per_thread,max_thread_block_size,fp32_cores_per_sm,sm_registers_per_fp32_cores,shared_memory_size_per_sm,collapse,collapse_swap,combined,combined_swap,split,split_swap,outer,inner,reduction,var_decl,ref_expr,int_literal,float_literal,mem_to,mem_from,add_sub_int,add_sub_double,mul_int,mul_double,div_int,div_double,assign_int,assign_double,log_outer,log_inner,log_var_decl,log_ref_expr,log_int_literal,log_float_literal,log_mem_to,log_mem_from,log_add_sub_int,log_add_sub_double,log_mul_int,log_mul_double,log_div_int,log_div_double,log_assign_int,log_assign_double,runtimes
Kernel_4,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,126,126,1,2,37,6,1,131072,131072,12,7,8,2,0,0,0,5,6.977279923,6.977279923,1,5.209453366,2.584962501,0,17,17,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002025
Kernel_1,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,126,126,1,2,37,6,1,131072,131072,12,7,8,2,0,0,0,5,6.977279923,6.977279923,1,5.209453366,2.584962501,0,17,17,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002099
Kernel_5,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,126,126,1,2,37,6,1,131072,131072,12,7,8,2,0,0,0,5,6.977279923,6.977279923,1,5.209453366,2.584962501,0,17,17,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002212
Kernel_2,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,126,126,1,2,37,6,1,131072,131072,12,7,8,2,0,0,0,5,6.977279923,6.977279923,1,5.209453366,2.584962501,0,17,17,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002317
Kernel_3,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,126,126,1,2,37,6,1,131072,131072,12,7,8,2,0,0,0,5,6.977279923,6.977279923,1,5.209453366,2.584962501,0,17,17,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002506
Kernel_0,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,126,126,1,2,37,6,1,131072,131072,12,7,8,2,0,0,0,5,6.977279923,6.977279923,1,5.209453366,2.584962501,0,17,17,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.001584
Kernel_4,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,158,158,1,2,37,6,1,204800,204800,12,7,8,2,0,0,0,5,7.303780748,7.303780748,1,5.209453366,2.584962501,0,17.64385619,17.64385619,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002098
Kernel_1,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,158,158,1,2,37,6,1,204800,204800,12,7,8,2,0,0,0,5,7.303780748,7.303780748,1,5.209453366,2.584962501,0,17.64385619,17.64385619,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002013
Kernel_5,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,158,158,1,2,37,6,1,204800,204800,12,7,8,2,0,0,0,5,7.303780748,7.303780748,1,5.209453366,2.584962501,0,17.64385619,17.64385619,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002245
Kernel_2,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,158,158,1,2,37,6,1,204800,204800,12,7,8,2,0,0,0,5,7.303780748,7.303780748,1,5.209453366,2.584962501,0,17.64385619,17.64385619,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002723
Kernel_3,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,158,158,1,2,37,6,1,204800,204800,12,7,8,2,0,0,0,5,7.303780748,7.303780748,1,5.209453366,2.584962501,0,17.64385619,17.64385619,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002654
Kernel_0,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,158,158,1,2,37,6,1,204800,204800,12,7,8,2,0,0,0,5,7.303780748,7.303780748,1,5.209453366,2.584962501,0,17.64385619,17.64385619,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.001871
Kernel_4,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,190,190,1,2,37,6,1,294912,294912,12,7,8,2,0,0,0,5,7.569855608,7.569855608,1,5.209453366,2.584962501,0,18.169925,18.169925,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002745
Kernel_3,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,190,190,1,2,37,6,1,294912,294912,12,7,8,2,0,0,0,5,7.569855608,7.569855608,1,5.209453366,2.584962501,0,18.169925,18.169925,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002182
Kernel_5,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,190,190,1,2,37,6,1,294912,294912,12,7,8,2,0,0,0,5,7.569855608,7.569855608,1,5.209453366,2.584962501,0,18.169925,18.169925,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002231
Kernel_2,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,190,190,1,2,37,6,1,294912,294912,12,7,8,2,0,0,0,5,7.569855608,7.569855608,1,5.209453366,2.584962501,0,18.169925,18.169925,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002797
Kernel_1,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,190,190,1,2,37,6,1,294912,294912,12,7,8,2,0,0,0,5,7.569855608,7.569855608,1,5.209453366,2.584962501,0,18.169925,18.169925,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.003121
Kernel_0,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,190,190,1,2,37,6,1,294912,294912,12,7,8,2,0,0,0,5,7.569855608,7.569855608,1,5.209453366,2.584962501,0,18.169925,18.169925,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.00185
Kernel_4,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,222,222,1,2,37,6,1,401408,401408,12,7,8,2,0,0,0,5,7.794415866,7.794415866,1,5.209453366,2.584962501,0,18.61470984,18.61470984,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002116
Kernel_1,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,222,222,1,2,37,6,1,401408,401408,12,7,8,2,0,0,0,5,7.794415866,7.794415866,1,5.209453366,2.584962501,0,18.61470984,18.61470984,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002296
Kernel_5,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,222,222,1,2,37,6,1,401408,401408,12,7,8,2,0,0,0,5,7.794415866,7.794415866,1,5.209453366,2.584962501,0,18.61470984,18.61470984,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002537
Kernel_3,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,222,222,1,2,37,6,1,401408,401408,12,7,8,2,0,0,0,5,7.794415866,7.794415866,1,5.209453366,2.584962501,0,18.61470984,18.61470984,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002579
Kernel_2,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,222,222,1,2,37,6,1,401408,401408,12,7,8,2,0,0,0,5,7.794415866,7.794415866,1,5.209453366,2.584962501,0,18.61470984,18.61470984,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002791
Kernel_0,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,222,222,1,2,37,6,1,401408,401408,12,7,8,2,0,0,0,5,7.794415866,7.794415866,1,5.209453366,2.584962501,0,18.61470984,18.61470984,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.001606
Kernel_4,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,254,254,1,2,37,6,1,524288,524288,12,7,8,2,0,0,0,5,7.988684687,7.988684687,1,5.209453366,2.584962501,0,19,19,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002123
Kernel_1,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,254,254,1,2,37,6,1,524288,524288,12,7,8,2,0,0,0,5,7.988684687,7.988684687,1,5.209453366,2.584962501,0,19,19,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002156
Kernel_5,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,254,254,1,2,37,6,1,524288,524288,12,7,8,2,0,0,0,5,7.988684687,7.988684687,1,5.209453366,2.584962501,0,19,19,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002568
Kernel_2,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,254,254,1,2,37,6,1,524288,524288,12,7,8,2,0,0,0,5,7.988684687,7.988684687,1,5.209453366,2.584962501,0,19,19,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002743
Kernel_3,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,254,254,1,2,37,6,1,524288,524288,12,7,8,2,0,0,0,5,7.988684687,7.988684687,1,5.209453366,2.584962501,0,19,19,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002598
Kernel_0,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,254,254,1,2,37,6,1,524288,524288,12,7,8,2,0,0,0,5,7.988684687,7.988684687,1,5.209453366,2.584962501,0,19,19,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.001873
Kernel_4,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,286,286,1,2,37,6,1,663552,663552,12,7,8,2,0,0,0,5,8.159871337,8.159871337,1,5.209453366,2.584962501,0,19.33985,19.33985,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002114
Kernel_2,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,286,286,1,2,37,6,1,663552,663552,12,7,8,2,0,0,0,5,8.159871337,8.159871337,1,5.209453366,2.584962501,0,19.33985,19.33985,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002555
Kernel_5,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,286,286,1,2,37,6,1,663552,663552,12,7,8,2,0,0,0,5,8.159871337,8.159871337,1,5.209453366,2.584962501,0,19.33985,19.33985,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002804
Kernel_3,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,286,286,1,2,37,6,1,663552,663552,12,7,8,2,0,0,0,5,8.159871337,8.159871337,1,5.209453366,2.584962501,0,19.33985,19.33985,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.00276
Kernel_1,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,286,286,1,2,37,6,1,663552,663552,12,7,8,2,0,0,0,5,8.159871337,8.159871337,1,5.209453366,2.584962501,0,19.33985,19.33985,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.002902
Kernel_0,0,1,0,0,GCC,Summit,4,16,2,3800,32,512,10240,NVIDIA Tesla V100-SXM2-16GB,300,512,877,900,16160,1312,5120,7,32,64,2048,32,65536,65536,255,1024,64,1024,96,1,0,0,0,0,0,286,286,1,2,37,6,1,663552,663552,12,7,8,2,0,0,0,5,8.159871337,8.159871337,1,5.209453366,2.584962501,0,19.33985,19.33985,3.584962501,2.807354922,3,1,0,0,0,2.321928095,0.001934
