kernel,clang,gcc,nvc,intel,Compiler,Cluster,thread_per_core,core_per_socket,num_sockets,cpu_clock,l1,l2,l3,gpu_name,connector_bandwidth,num_memory_bus, memory_clock,memory_bandwidth, memory_total, sm_clock,num_cores,compute_capability,threads_per_wrap,max_wraps_per_sm,max_threads_per_sm,max_thread_blocks_per_sm,max_32-bit_registers_per_sm,max_registers_per_block,max_registers_per_thread,max_thread_block_size,fp32_cores_per_sm,sm_registers_per_fp32_cores,shared_memory_size_per_sm,collapse,collapse_swap,combined,combined_swap,split,split_swap,outer,inner,reduction,var_decl,ref_expr,int_literal,float_literal,mem_to,mem_from,add_sub_int,add_sub_double,mul_int,mul_double,div_int,div_double,assign_int,assign_double,log_outer,log_inner,log_var_decl,log_ref_expr,log_int_literal,log_float_literal,log_mem_to,log_mem_from,log_add_sub_int,log_add_sub_double,log_mul_int,log_mul_double,log_div_int,log_div_double,log_assign_int,log_assign_double,runtimes
particleFilter5,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,12000000,0,1,0,10,0,0,288000000,288000000,0,2,0,2,0,0,0,2,23.51653107,0,0,3.321928095,0,0,28.10149357,28.10149357,0,1,0,1,0,0,0,1,1.002132
particleFilter3,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,19000000,0,1,0,3,0,0,304000008,152000000,0,1,0,0,0,0,0,1,24.17949608,0,0,1.584962501,0,0,28.17949612,27.17949608,0,0,0,0,0,0,0,0,1.026337
particleFilter3,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,19000000,0,1,0,3,0,0,304000008,152000000,0,1,0,0,0,0,0,1,24.17949608,0,0,1.584962501,0,0,28.17949612,27.17949608,0,0,0,0,0,0,0,0,1.027257
particleFilter3,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,19000000,0,1,0,3,0,0,304000008,152000000,0,1,0,0,0,0,0,1,24.17949608,0,0,1.584962501,0,0,28.17949612,27.17949608,0,0,0,0,0,0,0,0,1.02856
particleFilter3,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,19000000,0,1,0,3,0,0,304000008,152000000,0,1,0,0,0,0,0,1,24.17949608,0,0,1.584962501,0,0,28.17949612,27.17949608,0,0,0,0,0,0,0,0,1.02892
particleFilter3,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,18000000,0,1,0,3,0,0,288000008,144000000,0,1,0,0,0,0,0,1,24.10149357,0,0,1.584962501,0,0,28.10149361,27.10149357,0,0,0,0,0,0,0,0,1.031439
particleFilter3,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,19000000,0,1,0,3,0,0,304000008,152000000,0,1,0,0,0,0,0,1,24.17949608,0,0,1.584962501,0,0,28.17949612,27.17949608,0,0,0,0,0,0,0,0,1.040113
particleFilter3,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,19000000,0,1,0,3,0,0,304000008,152000000,0,1,0,0,0,0,0,1,24.17949608,0,0,1.584962501,0,0,28.17949612,27.17949608,0,0,0,0,0,0,0,0,1.041631
particleFilter5,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,13000000,0,1,0,10,0,0,312000000,312000000,0,2,0,2,0,0,0,2,23.63200829,0,0,3.321928095,0,0,28.21697079,28.21697079,0,1,0,1,0,0,0,1,1.043666
particleFilter5,1,0,0,0,Clang,Seawulf,1,14,2,1200,32,256,35840,NVIDIA Tesla K80-PCIe-12GB,16,128,2505,240,11441,562,2496,3.7,32,64,2048,16,65536,65536,255,1024,192,341,16,0,0,1,0,0,0,13000000,0,1,0,10,0,0,312000000,312000000,0,2,0,2,0,0,0,2,23.63200829,0,0,3.321928095,0,0,28.21697079,28.21697079,0,1,0,1,0,0,0,1,1.054993
