Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,1000,1,1,48,32,8,3,3,906544,0.9065
GPU0,static,1,589824,18432,1000,1,1,48,32,8,3,3,557612283,557.6123
GPU1,static,1,589824,18432,1000,1,1,48,32,8,3,3,1124293103,1124.2931
GPU0,dynamic,1,589824,18432,1000,1,1,48,32,8,3,3,553613819,553.6138
GPU1,dynamic,1,589824,18432,1000,1,1,48,32,8,3,3,566614866,566.6149
GPU0,guided,1,589824,18432,1000,1,1,48,32,8,3,3,557582542,557.5825
GPU1,guided,1,589824,18432,1000,1,1,48,32,8,3,3,566615544,566.6155
GPU0,static,2,589824,18432,1000,1,1,48,32,8,3,3,557618941,557.6189
GPU1,static,2,589824,18432,1000,1,1,48,32,8,3,3,566637375,566.6374
GPU0,dynamic,2,589824,18432,1000,1,1,48,32,8,3,3,557569209,557.5692
GPU1,dynamic,2,589824,18432,1000,1,1,48,32,8,3,3,566614409,566.6144
GPU0,guided,2,589824,18432,1000,1,1,48,32,8,3,3,557595559,557.5956
GPU1,guided,2,589824,18432,1000,1,1,48,32,8,3,3,566614431,566.6144
GPU0,static,3,589824,18432,1000,1,1,48,32,8,3,3,11900141,11.9001
GPU1,static,3,589824,18432,1000,1,1,48,32,8,3,3,12062523,12.0625
GPU0,dynamic,3,589824,18432,1000,1,1,48,32,8,3,3,11846093,11.8461
GPU1,dynamic,3,589824,18432,1000,1,1,48,32,8,3,3,12068576,12.0686
GPU0,guided,3,589824,18432,1000,1,1,48,32,8,3,3,11852378,11.8524
GPU1,guided,3,589824,18432,1000,1,1,48,32,8,3,3,12047693,12.0477
GPU0,static,4,589824,18432,1000,1,1,48,32,8,3,3,394962,0.3950
GPU1,static,4,589824,18432,1000,1,1,48,32,8,3,3,403342,0.4033
GPU0,dynamic,4,589824,18432,1000,1,1,48,32,8,3,3,394245,0.3942
GPU1,dynamic,4,589824,18432,1000,1,1,48,32,8,3,3,401571,0.4016
GPU0,guided,4,589824,18432,1000,1,1,48,32,8,3,3,393834,0.3938
GPU1,guided,4,589824,18432,1000,1,1,48,32,8,3,3,400869,0.4009
