Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,1000,1,1,32,48,2,3,3,169568,0.1696
GPU0,static,1,147456,18432,1000,1,1,32,48,2,3,3,197039725,197.0397
GPU1,static,1,147456,18432,1000,1,1,32,48,2,3,3,394060247,394.0602
GPU1,dynamic,1,147456,18432,1000,1,1,32,48,2,3,3,197036294,197.0363
GPU0,dynamic,1,147456,18432,1000,1,1,32,48,2,3,3,197104731,197.1047
GPU1,guided,1,147456,18432,1000,1,1,32,48,2,3,3,197040758,197.0408
GPU0,guided,1,147456,18432,1000,1,1,32,48,2,3,3,197060893,197.0609
GPU1,static,2,147456,18432,1000,1,1,32,48,2,3,3,197015369,197.0154
GPU0,static,2,147456,18432,1000,1,1,32,48,2,3,3,197017196,197.0172
GPU1,dynamic,2,147456,18432,1000,1,1,32,48,2,3,3,197035075,197.0351
GPU0,dynamic,2,147456,18432,1000,1,1,32,48,2,3,3,197052257,197.0523
GPU1,guided,2,147456,18432,1000,1,1,32,48,2,3,3,197027293,197.0273
GPU0,guided,2,147456,18432,1000,1,1,32,48,2,3,3,197057075,197.0571
GPU0,static,3,147456,18432,1000,1,1,32,48,2,3,3,6205016,6.2050
GPU1,static,3,147456,18432,1000,1,1,32,48,2,3,3,6207707,6.2077
GPU1,dynamic,3,147456,18432,1000,1,1,32,48,2,3,3,6209607,6.2096
GPU0,dynamic,3,147456,18432,1000,1,1,32,48,2,3,3,6211098,6.2111
GPU0,guided,3,147456,18432,1000,1,1,32,48,2,3,3,6206502,6.2065
GPU1,guided,3,147456,18432,1000,1,1,32,48,2,3,3,6209448,6.2094
GPU0,static,4,147456,18432,1000,1,1,32,48,2,3,3,130021,0.1300
GPU1,static,4,147456,18432,1000,1,1,32,48,2,3,3,130765,0.1308
GPU0,dynamic,4,147456,18432,1000,1,1,32,48,2,3,3,129855,0.1299
GPU1,dynamic,4,147456,18432,1000,1,1,32,48,2,3,3,130687,0.1307
GPU0,guided,4,147456,18432,1000,1,1,32,48,2,3,3,130169,0.1302
GPU1,guided,4,147456,18432,1000,1,1,32,48,2,3,3,130665,0.1307
