Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,1000,32,96,1,16,4,3,3,1136588,1.1366
GPU0,static,1,9437184,589824,1000,32,96,1,16,4,3,3,598399767,598.3998
GPU4,static,1,9437184,589824,1000,32,96,1,16,4,3,3,1180535032,1180.5350
GPU3,static,1,9437184,589824,1000,32,96,1,16,4,3,3,1197892764,1197.8928
GPU6,static,1,9437184,589824,1000,32,96,1,16,4,3,3,1199633676,1199.6337
GPU2,static,1,9437184,589824,1000,32,96,1,16,4,3,3,1202841373,1202.8414
GPU1,static,1,9437184,589824,1000,32,96,1,16,4,3,3,1203676495,1203.6765
GPU7,static,1,9437184,589824,1000,32,96,1,16,4,3,3,1204495999,1204.4960
GPU5,static,1,9437184,589824,1000,32,96,1,16,4,3,3,1210810912,1210.8109
GPU4,dynamic,1,9437184,589824,1000,32,96,1,16,4,3,3,582292906,582.2929
GPU3,dynamic,1,9437184,589824,1000,32,96,1,16,4,3,3,596034006,596.0340
GPU0,dynamic,1,9437184,589824,1000,32,96,1,16,4,3,3,598603592,598.6036
GPU6,dynamic,1,9437184,589824,1000,32,96,1,16,4,3,3,601386249,601.3862
GPU1,dynamic,1,9437184,589824,1000,32,96,1,16,4,3,3,601911562,601.9116
GPU7,dynamic,1,9437184,589824,1000,32,96,1,16,4,3,3,602044096,602.0441
GPU2,dynamic,1,9437184,589824,1000,32,96,1,16,4,3,3,604766669,604.7667
GPU5,dynamic,1,9437184,589824,1000,32,96,1,16,4,3,3,612574087,612.5741
GPU4,guided,1,9437184,589824,1000,32,96,1,16,4,3,3,581957409,581.9574
GPU0,guided,1,9437184,589824,1000,32,96,1,16,4,3,3,594566627,594.5666
GPU3,guided,1,9437184,589824,1000,32,96,1,16,4,3,3,599909447,599.9094
GPU6,guided,1,9437184,589824,1000,32,96,1,16,4,3,3,601698310,601.6983
GPU7,guided,1,9437184,589824,1000,32,96,1,16,4,3,3,602369400,602.3694
GPU2,guided,1,9437184,589824,1000,32,96,1,16,4,3,3,604837023,604.8370
GPU1,guided,1,9437184,589824,1000,32,96,1,16,4,3,3,605800524,605.8005
GPU5,guided,1,9437184,589824,1000,32,96,1,16,4,3,3,612400353,612.4004
GPU5,static,2,9437184,589824,1000,32,96,1,16,4,3,3,7240577,7.2406
GPU2,static,2,9437184,589824,1000,32,96,1,16,4,3,3,7248019,7.2480
GPU0,static,2,9437184,589824,1000,32,96,1,16,4,3,3,7276333,7.2763
GPU4,static,2,9437184,589824,1000,32,96,1,16,4,3,3,7285269,7.2853
GPU7,static,2,9437184,589824,1000,32,96,1,16,4,3,3,7340381,7.3404
GPU3,static,2,9437184,589824,1000,32,96,1,16,4,3,3,7348089,7.3481
GPU1,static,2,9437184,589824,1000,32,96,1,16,4,3,3,7356872,7.3569
GPU6,static,2,9437184,589824,1000,32,96,1,16,4,3,3,7369196,7.3692
GPU2,dynamic,2,9437184,589824,1000,32,96,1,16,4,3,3,7094158,7.0942
GPU4,dynamic,2,9437184,589824,1000,32,96,1,16,4,3,3,7104962,7.1050
GPU0,dynamic,2,9437184,589824,1000,32,96,1,16,4,3,3,7112467,7.1125
GPU3,dynamic,2,9437184,589824,1000,32,96,1,16,4,3,3,7159336,7.1593
GPU7,dynamic,2,9437184,589824,1000,32,96,1,16,4,3,3,7161988,7.1620
GPU6,dynamic,2,9437184,589824,1000,32,96,1,16,4,3,3,7176502,7.1765
GPU1,dynamic,2,9437184,589824,1000,32,96,1,16,4,3,3,7180990,7.1810
GPU5,dynamic,2,9437184,589824,1000,32,96,1,16,4,3,3,7241654,7.2417
GPU2,guided,2,9437184,589824,1000,32,96,1,16,4,3,3,7095962,7.0960
GPU4,guided,2,9437184,589824,1000,32,96,1,16,4,3,3,7108566,7.1086
GPU0,guided,2,9437184,589824,1000,32,96,1,16,4,3,3,7117268,7.1173
GPU3,guided,2,9437184,589824,1000,32,96,1,16,4,3,3,7163950,7.1639
