Device,scheduling,collapse,mem_to,mem_from,COUNT,LA,LB,LC,LD,LE,M,N,runtime(us),runtime(s)
CPU,0,0,1000,1,32,1,80,4,3,3,1015020,1.0150
GPU0,static,1,491520,30720,1000,1,32,1,80,4,3,3,573368416,573.3684
GPU4,static,1,491520,30720,1000,1,32,1,80,4,3,3,1145437105,1145.4371
GPU1,static,1,491520,30720,1000,1,32,1,80,4,3,3,1145471984,1145.4720
GPU5,static,1,491520,30720,1000,1,32,1,80,4,3,3,1145550398,1145.5504
GPU2,static,1,491520,30720,1000,1,32,1,80,4,3,3,1145977434,1145.9774
GPU5,static,1,491520,30720,1000,1,32,1,80,4,3,3,1146861123,1146.8611
GPU1,dynamic,1,491520,30720,1000,1,32,1,80,4,3,3,572042813,572.0428
GPU3,dynamic,1,491520,30720,1000,1,32,1,80,4,3,3,572052871,572.0529
GPU4,dynamic,1,491520,30720,1000,1,32,1,80,4,3,3,572074254,572.0743
GPU2,dynamic,1,491520,30720,1000,1,32,1,80,4,3,3,572113972,572.1140
GPU0,dynamic,1,491520,30720,1000,1,32,1,80,4,3,3,572289853,572.2899
GPU0,dynamic,1,491520,30720,1000,1,32,1,80,4,3,3,575892510,575.8925
GPU4,guided,1,491520,30720,1000,1,32,1,80,4,3,3,572054805,572.0548
GPU1,guided,1,491520,30720,1000,1,32,1,80,4,3,3,572118183,572.1182
GPU2,guided,1,491520,30720,1000,1,32,1,80,4,3,3,572594722,572.5947
GPU3,guided,1,491520,30720,1000,1,32,1,80,4,3,3,573060266,573.0603
GPU5,guided,1,491520,30720,1000,1,32,1,80,4,3,3,574991451,574.9915
GPU0,guided,1,491520,30720,1000,1,32,1,80,4,3,3,575955305,575.9553
GPU1,static,2,491520,30720,1000,1,32,1,80,4,3,3,18079126,18.0791
GPU4,static,2,491520,30720,1000,1,32,1,80,4,3,3,18088720,18.0887
GPU3,static,2,491520,30720,1000,1,32,1,80,4,3,3,18105222,18.1052
GPU2,static,2,491520,30720,1000,1,32,1,80,4,3,3,18119554,18.1196
GPU5,static,2,491520,30720,1000,1,32,1,80,4,3,3,18141888,18.1419
GPU0,static,2,491520,30720,1000,1,32,1,80,4,3,3,18178730,18.1787
GPU4,dynamic,2,491520,30720,1000,1,32,1,80,4,3,3,18016474,18.0165
GPU1,dynamic,2,491520,30720,1000,1,32,1,80,4,3,3,18017474,18.0175
GPU2,dynamic,2,491520,30720,1000,1,32,1,80,4,3,3,18036250,18.0362
GPU3,dynamic,2,491520,30720,1000,1,32,1,80,4,3,3,18045073,18.0451
GPU5,dynamic,2,491520,30720,1000,1,32,1,80,4,3,3,18109645,18.1096
GPU0,dynamic,2,491520,30720,1000,1,32,1,80,4,3,3,18138461,18.1385
GPU4,guided,2,491520,30720,1000,1,32,1,80,4,3,3,18016602,18.0166
GPU1,guided,2,491520,30720,1000,1,32,1,80,4,3,3,18017178,18.0172
GPU2,guided,2,491520,30720,1000,1,32,1,80,4,3,3,18034989,18.0350
GPU3,guided,2,491520,30720,1000,1,32,1,80,4,3,3,18042217,18.0422
GPU5,guided,2,491520,30720,1000,1,32,1,80,4,3,3,18102874,18.1029
GPU0,guided,2,491520,30720,1000,1,32,1,80,4,3,3,18143968,18.1440
GPU4,static,3,491520,30720,1000,1,32,1,80,4,3,3,18022778,18.0228
GPU1,static,3,491520,30720,1000,1,32,1,80,4,3,3,18027053,18.0271
GPU2,static,3,491520,30720,1000,1,32,1,80,4,3,3,18048450,18.0484
GPU3,static,3,491520,30720,1000,1,32,1,80,4,3,3,18057987,18.0580
GPU5,static,3,491520,30720,1000,1,32,1,80,4,3,3,18139230,18.1392
GPU0,static,3,491520,30720,1000,1,32,1,80,4,3,3,18154953,18.1550
GPU1,dynamic,3,491520,30720,1000,1,32,1,80,4,3,3,18015918,18.0159
GPU4,dynamic,3,491520,30720,1000,1,32,1,80,4,3,3,18016754,18.0168
GPU2,dynamic,3,491520,30720,1000,1,32,1,80,4,3,3,18031597,18.0316
GPU3,dynamic,3,491520,30720,1000,1,32,1,80,4,3,3,18043189,18.0432
GPU5,dynamic,3,491520,30720,1000,1,32,1,80,4,3,3,18113939,18.1139
GPU0,dynamic,3,491520,30720,1000,1,32,1,80,4,3,3,18144308,18.1443
GPU4,guided,3,491520,30720,1000,1,32,1,80,4,3,3,18015703,18.0157
GPU1,guided,3,491520,30720,1000,1,32,1,80,4,3,3,18017102,18.0171
GPU2,guided,3,491520,30720,1000,1,32,1,80,4,3,3,18031259,18.0313
GPU3,guided,3,491520,30720,1000,1,32,1,80,4,3,3,18069368,18.0694
GPU5,guided,3,491520,30720,1000,1,32,1,80,4,3,3,18129324,18.1293
GPU0,guided,3,491520,30720,1000,1,32,1,80,4,3,3,18141931,18.1419
GPU1,static,4,491520,30720,1000,1,32,1,80,4,3,3,226761,0.2268
GPU2,static,4,491520,30720,1000,1,32,1,80,4,3,3,227427,0.2274
GPU3,static,4,491520,30720,1000,1,32,1,80,4,3,3,227594,0.2276
GPU4,static,4,491520,30720,1000,1,32,1,80,4,3,3,228161,0.2282
GPU5,static,4,491520,30720,1000,1,32,1,80,4,3,3,228612,0.2286
GPU0,static,4,491520,30720,1000,1,32,1,80,4,3,3,229058,0.2291
GPU1,dynamic,4,491520,30720,1000,1,32,1,80,4,3,3,226175,0.2262
GPU4,dynamic,4,491520,30720,1000,1,32,1,80,4,3,3,227406,0.2274
GPU2,dynamic,4,491520,30720,1000,1,32,1,80,4,3,3,227757,0.2278
GPU3,dynamic,4,491520,30720,1000,1,32,1,80,4,3,3,227840,0.2278
GPU5,dynamic,4,491520,30720,1000,1,32,1,80,4,3,3,228310,0.2283
GPU0,dynamic,4,491520,30720,1000,1,32,1,80,4,3,3,228948,0.2289
GPU1,guided,4,491520,30720,1000,1,32,1,80,4,3,3,226080,0.2261
GPU2,guided,4,491520,30720,1000,1,32,1,80,4,3,3,226495,0.2265
GPU4,guided,4,491520,30720,1000,1,32,1,80,4,3,3,227383,0.2274
GPU3,guided,4,491520,30720,1000,1,32,1,80,4,3,3,227725,0.2277
GPU0,guided,4,491520,30720,1000,1,32,1,80,4,3,3,228551,0.2286
GPU5,guided,4,491520,30720,1000,1,32,1,80,4,3,3,228707,0.2287
